Time,Remote DRAM Accesses,Local DRAM Accesses
2.001997923,186000,11418188
4.004096556,115730,21928078
6.006176913,48126,23845830
8.008536817,27450156,199038138
10.015881316,109130608,718127684
12.018452527,110274159,719104521
14.019882755,110949622,720347668
16.02244576,111615513,722007667
18.023885114,112173974,723004768
20.026464183,112545594,723976164
22.027880985,112770992,723868717
24.030435622,113201272,725139916
26.035882974,113668453,726853896
28.038461136,113710864,726019373
30.039886903,112548727,712722643
32.042489567,113929300,725416952
34.043884944,114060147,724909929
36.046444014,114638277,728204462
38.051887256,114206803,724107409
40.054465132,114059601,722629290
42.055887161,114339463,722542886
44.05845602,114573633,722207492
46.059885822,115020760,723741164
48.062463278,115385053,723478432
50.063884391,115797556,723742477
52.067883244,116402000,724917856
54.070464488,117958338,731518037
56.071885612,118433209,731826944
58.075892879,119114265,732415275
60.078479761,119544189,732367926
62.083885091,120184876,733978766
64.086452989,120574244,732923848
66.087884533,121085665,732662239
68.090470613,121511130,732389654
70.091890198,121807056,731389944
72.094450767,122245715,731217965
74.095886099,122642610,730931789
76.099886593,123122348,731545527
78.102472721,123423197,730608412
80.107883083,124083571,732282622
82.110459126,124237468,731236614
84.111910286,124467230,730822304
86.114499366,124688859,730180916
88.115893792,124852070,729070693
90.118473538,124483160,722569419
92.119895942,124723975,720591783
94.127881607,125801991,730848964
96.13045654,125170070,725594132
98.131882439,125734350,728422009
100.134469201,125964622,728618778
102.135897161,125887421,727786159
104.138463696,126246641,729187024
106.139883991,126596829,724834070
108.14248079,126976422,718222050
110.143888715,127168484,720064308
112.151890525,127528853,722378479
114.154462668,127095701,718592901
116.155886065,126806670,723739743
118.158446687,126482094,724296073
120.159882051,126488782,725988565
122.162498571,126986550,723297608
124.163886961,126938386,723072780
126.166459707,126987525,723369551
128.167885968,127079808,722887292
130.170472573,127305592,723813820
132.175883404,127263683,728967773
134.178447298,127059075,727977639
136.179884427,127019337,727644524
138.182453569,126915713,726629327
140.183881987,126692252,723961796
142.186456683,126678978,720515717
144.187884633,126363176,719219907
146.19188434,125921164,715452948
148.194483687,125784027,715617784
150.195889223,126148654,719392469
152.199886015,126001259,716491075
154.202492174,126590346,722822996
156.207885918,126471986,722455330
158.210481471,126583722,722355287
160.211884862,125774319,712392289
162.214462565,125871399,716371267
164.215883768,126077479,717919990
166.218446165,125607077,709438867
168.219887412,125620012,715575860
170.223882569,126492895,719164036
172.226450232,126363019,722936963
174.231883776,126799821,726803349
176.234475147,126652732,725512213
178.235888202,125584349,716027329
180.238514886,126032005,717731895
182.239885907,126303568,718560134
184.242472282,126456050,719655628
186.243887296,126498458,720415063
188.251888272,127112872,728388865
190.254477331,126712128,726154744
192.255886863,126366503,721807895
194.258160952,126685789,726072607
196.259917251,126283284,717766859
198.262533134,126387039,712352168
200.263917487,127165787,722977375
202.266524498,127257501,723082946
204.271883953,127469640,724696790
206.274492486,127215823,724618750
208.27588853,126825214,725975606
210.278479319,126839680,726013365
212.279897503,126539713,724667171
214.282426955,125496257,709098874
216.283889207,126142108,720473699
218.287886419,126376191,721137550
220.290647178,126754981,720751710
222.295114647,126696561,719662355
224.297445049,126831575,721288758
226.30341958,127163447,723077586
228.307881582,126611886,720685563
230.310465888,126814385,724929545
232.311884705,125548872,708220082
234.319883484,126269838,713144267
236.322460856,126320619,713766205
238.323885704,125698926,707446790
240.32788087,126493984,716213864
242.330455319,126890685,725987355
244.331884312,126882663,725617003
246.335879344,127093205,727050951
248.338441097,126672627,723823779
250.339881618,126075839,711428894
252.343893033,127416414,723098137
254.346467876,127233640,722589145
256.349578706,127207926,721987842
258.351883993,127061057,721168387
260.354410011,126806813,725132883
262.359879968,126945351,725922610
264.362438079,126770121,725328070
266.363885552,126724565,725010782
268.366420518,125974265,716205966
270.371885369,125973449,715603015
272.374431806,125454176,713424929
274.375885695,125449008,710102707
276.378366459,125339973,706198052
278.37988186,126543032,723178575
280.382434718,126520939,723078542
282.383887706,126778436,725641330
284.386438408,126904976,726201562
286.3918823,127107885,727396574
288.394425834,126962888,726496003
290.395881959,126857305,726088494
292.398470524,127274036,723555803
294.399883703,126904362,726051491
296.402438545,126987286,727103137
298.40388146,126933686,726533854
300.407896219,127064457,727630009
302.410462415,126973130,727124733
304.415886228,127197203,728162062
306.418437336,126780420,722888309
308.41988346,126572084,719283509
310.422436893,124913170,709260641
312.423880679,125862693,714468520
314.426425525,125749609,715120023
316.42788606,126207444,719938289
318.43188207,126577395,722816584
320.434439764,125944379,717064432
322.435879148,126180185,716720583
324.439882867,126524346,718530804
326.442427027,126338385,717623553
328.443883441,126348431,717069598
330.447885746,126672800,720501368
332.450415315,126736469,723653781
334.455882229,127115004,726196678
336.458450221,126305400,717590285
338.459885661,126371801,715561457
340.462485615,127126730,721085084
342.463884264,126879480,718463103
344.466446222,127359605,722075906
346.467881053,127051308,720657664
348.471880857,127204981,725312378
350.474421008,127026712,726025511
352.475882406,126866460,725290666
354.479881078,127056960,726654242
356.482427445,127007898,726379796
358.487880567,127163814,727377472
360.490446837,126985122,726170300
362.491888276,126856344,725558686
364.494425663,126914464,726531536
366.495883492,126841102,725995471
368.498455194,126906898,726589393
370.499882764,126794018,725892076
372.503878673,126902302,726421882
374.506451554,126901267,726000035
376.507885812,126764824,725597697
378.511118071,126851420,725760765
380.515883746,126883095,725686069
382.518454123,126733893,724972645
384.519884501,126563258,723861970
386.522432814,126935245,721066289
388.523882417,126920598,720107002
390.526462563,126998428,720897483
392.527882318,126886014,719995873
394.531885075,127070915,720842879
396.534444873,126653641,724766317
398.535926978,125834697,712539083
400.539885127,126565106,723255718
402.542490011,126342261,722991666
404.547881607,126784824,725950744
406.550433719,126754274,725099832
408.55189404,126848770,721272491
410.554414291,126841917,720963405
412.555880675,126842944,721073113
414.558413444,126871360,721639317
416.55988374,126797275,721757335
418.563882078,126686622,726529687
420.566413487,126551888,725921136
422.567884454,126473832,725496206
424.57189169,126611037,726905151
426.574426211,126484593,726330244
428.575884982,126413578,725855743
430.579878988,126582820,726840700
432.582398522,126468360,726445944
434.583880623,126514920,725138049
436.587882094,126789482,723115433
438.590453862,126750638,722104779
440.59587981,126884374,723858480
442.598439896,126684736,722026844
444.599882631,126581111,723802534
446.602409936,126448008,726346701
448.603884159,126383581,726207958
450.606438193,126475166,726070582
452.607881973,126366232,724956402
454.611880397,126348314,723548067
456.614429119,125743536,715442030
458.615884628,125695206,716139449
460.619884507,124745669,702525567
462.622450867,125066479,712734609
464.623881297,125683895,716540744
466.627879143,126379538,724221370
468.630441747,126410251,724436264
470.635878382,126550140,725441122
472.638434634,126277198,721369235
474.639883607,126318605,717717584
476.642446137,126256637,717002800
478.643880401,125981947,715362489
480.646429393,126326503,717562110
482.647883688,126556024,720120418
484.655881468,127088499,725830614
486.658403294,126666766,724533412
488.659880439,126615710,723690482
490.662410512,126494299,717296355
492.663887201,126867420,720278628
494.666433548,126940905,721017217
496.667881021,126931781,720651556
498.670437748,127017685,721218986
500.67188172,126684804,724009968
502.674414115,126636091,725260053
504.677811587,126830508,724198786
506.680512178,127000552,721862760
508.683880706,127005637,722262477
510.68787829,127059163,722123118
512.690403104,126896504,720586503
514.69188675,126762951,722736959
516.695881555,126501289,722479273
518.698430736,126308310,721213388
520.703889171,125741077,706410347
522.706464776,125971082,706298332
524.707882264,125603666,711732083
526.71044368,126477284,717487715
528.711882556,126975883,721670602
530.714439245,126761981,725549342
532.715885917,126644772,725255913
534.719881201,127018456,723989066
536.722423287,126970708,722261666
538.723883699,126797258,721508175
540.72788034,126884555,720847948
542.730439191,126955868,721552340
544.73187976,126712059,724242042
546.735881959,126607004,725345882
548.738438794,126336759,723512549
550.74388322,125844110,713367331
552.746456351,125649634,712479595
554.747883213,126375758,716164626
556.750423088,126624615,718385708
558.751887587,126710603,719198598
560.754416571,126542887,724031731
562.75588279,126417399,723826493
564.759881118,126594947,724967061
566.762436113,126501463,724705830
568.763882355,126518265,721549450
570.771882759,126841594,721833057
572.774443276,126538690,719396634
574.77588678,126460623,719502251
576.778458935,126561787,720549297
578.7798822,126435447,722942447
580.782436781,126286721,723739638
582.783887318,125507110,715219253
584.786475658,126245710,717927994
586.787883626,125697715,711183402
588.791880825,125370877,709588267
590.794454684,126149353,717592942
592.799882885,126990313,721800975
594.802468951,126575421,722271841
596.803880859,126399083,724133192
598.806446084,126451135,724983057
600.807886964,126391326,723868647
602.81043414,126568171,724988496
604.811885069,126005175,718008462
606.815882872,126256747,721279223
608.81845917,125799006,715709719
610.823881546,126352131,718520609
612.826452327,126014861,717118172
614.827882988,125976923,713203980
616.830455304,125986075,717386907
618.831884876,126155687,720357505
620.834503918,126408505,723379655
622.835882828,126096935,719566821
624.839881131,126597215,724194364
626.842484406,126319914,715714487
628.843881667,125463999,710758297
630.847880591,125973614,711783159
632.850395161,126270204,716558020
634.851883807,126645532,719320752
636.855882611,127001188,725663829
638.858440129,126841681,725245243
640.863880493,127078242,726388559
642.86646867,126861947,725104915
644.867885545,125518585,707464802
646.870478569,125460942,708925702
648.871883073,124656340,705609105
650.874466961,124713750,706406203
652.875883407,125070348,710404552
654.879878886,126248245,720020556
656.882471187,126752246,725518433
658.883884572,126612463,724699884
660.891884912,127198623,723119856
662.894445748,126782959,720079701
664.89588597,126722579,719944614
666.898445639,126792569,720320549
668.899883278,126586276,719102268
670.902442394,126429642,723423641
672.903883775,126382829,723512313
674.906437059,126497139,723809205
676.907885589,126424941,723442450
678.911880954,126556305,720545643
680.91444216,126166704,716313715
682.915887117,126167863,715831450
684.91988361,126396048,716862614
686.92240914,126345623,716924486
688.923882703,126543516,721262901
690.931883704,127000084,725842179
692.934453758,126851064,722190846
694.935880433,126900597,719740396
696.938431107,127038278,720407311
698.939884394,126920079,719761083
700.942417626,126942310,720344757
702.943884636,126775626,721814087
704.946419446,126237145,719690770
706.947886534,125961367,716302245
708.951885404,126673271,724932548
710.954443179,126120595,721389770
712.955883337,126481701,724084467
714.959882571,126661241,725311785
716.962414418,126570733,724719256
718.967881561,126695952,725648738
720.970443806,126648051,724825762
722.971882709,126489701,724204460
724.974423076,126577731,724988841
726.975879709,126474985,724837024
728.978466355,126532257,725243709
730.979882005,126253781,723709432
732.982416878,126380607,725344298
734.987876873,126640218,726244837
736.990416981,126464560,725100242
738.991884037,126218804,723837510
740.994467563,126450672,725298887
742.99588447,126450060,724764583
744.998498451,126538334,724922128
746.99988402,126469263,724967073
749.003886583,126651468,725392097
751.006424914,126627395,725121514
753.008991788,126545190,724160922
755.015881299,126883874,726886961
757.018436416,126670889,725557101
759.01988046,126567545,724820118
761.022423532,126620179,725139232
763.02388463,126582290,725046709
765.026463769,126586189,725062919
