Time,Remote DRAM Accesses,Local DRAM Accesses
2.002024432,9193,8505309
4.004104163,8146,19229898
6.006651425,21700245,161630898
8.011989279,126673939,700517144
10.01455998,153097424,659909362
12.015989154,177211155,635033767
14.018519803,197260017,609369290
16.019991104,213975535,587290425
18.022538411,229129470,569057286
20.023991833,243120951,552984764
22.02799235,254516210,539740767
24.030561617,262486271,527293368
26.035295484,269761559,517760375
28.035995315,276323540,508473288
30.038542799,282726958,501361766
32.039995889,288001848,494807300
34.04257027,294295354,488751687
36.043992062,300223899,483598956
38.047990876,303541241,479437600
40.050560431,303592507,474284552
42.055987219,306411602,470843550
44.058563052,303197134,460240644
46.059996569,309982552,463046131
48.062563298,312884945,461183253
50.063994254,319640216,463143344
52.066567459,321430122,461527070
54.067993374,322878666,459643160
56.071989829,324800961,458938212
58.07455231,325977111,457820517
60.07599139,323986132,456803314
62.081151746,325589397,456167741
64.087991616,327149509,455833473
66.090535145,327332468,453939784
68.091994194,328578387,453033545
70.094537575,332493573,451887329
72.095993565,333420113,451327501
74.098562128,333061000,451107538
76.099992723,331115365,449952228
78.103986618,333197722,450186768
80.106533625,335875848,448808891
82.10799441,336240905,448006120
84.115987023,334195030,447025280
86.118503212,333199126,445944594
88.119996339,333680192,445502026
90.122543966,337537654,446327128
92.123992152,338327185,446053781
94.126546502,338702972,445939337
96.127990498,336881848,445683136
98.130527735,336004580,445878655
100.131991867,336181331,445582028
102.13598954,336912868,446013446
104.138529123,333788708,441834416
106.139992156,336120679,441178155
108.14399037,340616078,444913633
110.146546875,339132381,442706247
112.151988978,340940123,444653775
114.154543349,340480338,443827443
116.155992525,340219249,443364990
118.15852453,340327965,443190407
120.159991411,339460262,442812726
122.162503963,336104113,441079278
124.163991687,334579854,437684462
126.166565967,335379715,439131264
128.17199286,336964475,441600082
130.174573469,337263082,440911002
132.175993382,340767243,442662270
134.178557274,340810127,442598117
136.179992884,341006988,442745096
138.182544687,341174021,442863386
140.183994891,340854832,442344952
142.187612923,341393113,442832294
144.191993552,341615219,443134035
146.194611487,341303002,442762085
148.199993784,342122771,443567406
150.202571179,341577110,442912555
152.203995062,341377862,442475735
154.206522919,341653256,442854345
156.207993981,341175372,442177177
158.21056187,341356948,442309533
160.211994307,340968537,441827008
162.218170141,341818711,442964490
164.219993207,340974903,441891663
166.222516714,336581520,437337782
168.223997473,339497215,440579985
170.226595973,341418479,442362623
172.227997006,340100226,440736371
174.230540217,341420252,442372823
176.235991082,342069024,443260427
178.238520928,341669275,442605281
180.239996284,341493047,442383221
182.242541053,341730879,442580415
184.243994611,341415772,442244168
186.24652954,341149222,441860895
188.247997782,341204518,441830104
190.25599337,342267248,443200540
192.258562659,341148451,441906536
194.259996755,340611488,441237958
196.26257092,341023405,441760513
198.263994654,340739749,441538183
200.266545442,340892721,441731790
202.267996576,340863868,441695472
204.270547925,341192300,442043855
206.27199614,340833619,441749578
208.274536208,341101073,442058082
210.279997234,341672155,442723043
212.282541686,341268492,442224546
214.283995855,340897101,441584243
216.286562906,341246255,441997552
218.287993171,341371465,442097593
220.290576482,341317785,442074768
222.291999037,340743220,441365680
224.295991131,341126962,441859410
226.298548773,340748660,441402823
228.303995573,335782135,435473007
230.306542286,339830955,440334763
232.308007079,339697708,440004868
234.310626274,339952415,440272153
236.311992504,339352157,441038902
238.314615236,337526685,441775522
240.317059761,337498951,441888575
242.319686378,337376939,441569844
244.322318869,337286371,441431594
246.327996655,339199492,442269258
248.330574059,341011366,441373937
250.331994738,340710869,441069863
252.334577859,341193234,441536215
254.33599784,340924050,441144432
256.338565544,340921576,441157575
258.339992849,341046679,441269634
260.347994336,342155160,442698746
262.350565661,341088155,441243684
264.351995849,340599344,440763101
266.354547785,340704575,440957425
268.355998876,340690218,440781522
270.358548874,340953421,441140927
272.359991161,340298285,440405561
274.362523254,339992716,440052456
276.363992684,340498167,440600905
278.367991036,340947162,441230783
280.370531737,340933861,441313855
282.371996267,340555947,440836767
284.375993909,341152209,441542475
286.378562423,340517829,440807698
288.379994863,340243755,440569325
290.383993384,335596271,435283667
292.386575626,340696565,441096787
294.391995536,340005003,440334061
296.394546129,340800420,441331843
298.395995144,340820824,441265944
300.398528416,340858812,441307641
302.399993815,340712629,441085067
304.402527788,341009858,441581280
306.403992655,340593797,441057868
308.407994562,341330930,442092729
310.410555491,341179779,441844727
312.411990629,340949277,441488314
314.415991974,341065694,441650018
316.418550266,340661362,441233700
318.419993402,340149852,440479358
320.423991623,340655965,441102587
322.426563341,340492017,440945515
324.43150242,340841332,441368216
326.435996035,340737975,441381490
328.438606639,340588308,441060800
330.439995915,340516342,440956677
332.443994058,341017045,441592123
334.446599757,340375912,440692643
336.451544775,341166585,441561895
338.455997795,340905580,441249711
340.458570147,340862171,441120892
342.459999477,340675565,440896237
344.463992452,341193706,441643095
346.466531049,340929146,441326075
348.471329655,341264207,441678853
350.475991492,337360095,437424804
352.478573601,338556366,439064140
354.47999713,340375621,440637290
356.482562293,339340940,439550284
358.483992707,340577172,441003696
360.486547214,340636235,441190769
362.491211454,341078158,441769734
364.491991882,340007099,440269850
366.494563477,340712618,441211993
368.495994472,340423253,440714262
370.498536838,340768557,441037770
372.499989595,340679843,440968924
374.507990808,341778552,442403557
376.510527034,340695565,441040229
378.511993886,340452684,440751729
380.514535529,340146657,440387501
382.515997234,340352700,440609470
384.518560165,340493669,440834577
386.519993176,339902273,440275842
388.522561553,340509193,440980115
390.523995445,340285483,440627237
392.52653777,340515394,440977029
394.531992333,340953012,441491440
396.534565249,340363278,440775956
398.535993484,340415826,440762214
400.538581943,340496964,440940083
402.53999995,340276955,440753698
404.542532575,340499621,441088968
406.543991002,340249670,440752397
408.547989773,340728961,441369194
410.550535334,340424566,440929194
412.553287007,334913684,434626518
414.559992333,340714160,441526935
416.562556766,338787132,439030138
