Time,Remote DRAM Accesses,Local DRAM Accesses
2.002017796,104217,11400156
4.004120697,54513,21935036
6.006201376,48051,23987737
8.010586118,102231767,151321571
10.015916364,316322826,430291599
12.018502342,318502452,433014092
14.019916859,319500856,433977614
16.02246762,321345089,435369286
18.023917926,322275504,435853525
20.026507267,323129359,436909038
22.031912923,324271847,437939826
24.034455781,324151415,438204197
26.035914189,324186956,438678489
28.038489598,325022471,439895678
30.039917732,325062056,440059037
32.042478495,325357750,440994926
34.043921879,327761992,428044840
36.051583769,345284724,412930870
38.054255238,348859914,413051559
40.055920896,347568107,413102921
42.058523327,348889995,415604732
44.05991948,348560919,415597710
46.062528169,348561135,416410533
48.063918955,348635591,416386183
50.066482995,348902557,417033073
52.067921898,348913433,417421480
54.071914039,349755366,418412090
56.074483015,349468713,418503274
58.079916759,350044569,419321800
60.082469194,349592586,419156095
62.08392052,349539834,418978260
64.086477714,349763806,419613766
66.087916614,349602691,419605138
68.090485018,349997870,420168268
70.091916465,350181167,420256005
72.095914144,350886864,421027331
74.098489639,350896257,421030525
76.099918329,350910006,420683219
78.103914913,351519672,421236916
80.106514804,351260780,420863730
82.111919909,351756513,421625136
84.114491876,351329374,420912779
86.115919463,351474314,420778124
88.118493526,351668976,421273622
90.119948448,351396762,420940496
92.123920783,352264742,421752957
94.126480425,352185541,421523359
96.128437665,353680399,405471550
98.135917485,366595823,403211944
100.138487465,363650840,405708812
102.139919207,362328464,403775126
104.142510102,363761040,405572710
106.143924239,363610795,405351826
108.146482185,363404241,405283371
110.14792347,363697367,405464242
112.15052832,364068923,405818244
114.155920493,364199334,405881523
116.15852243,364242753,405792201
118.159917545,363954566,405597914
120.162519753,364145577,405993184
122.163921849,364357273,405577130
124.166501361,364610878,405727431
126.167918594,364333063,405313895
128.174717449,365239317,406207360
130.179916019,364874556,406005579
132.182496213,364000471,405097053
134.183917617,364064661,405153338
136.186458722,364266723,405305281
138.187918413,364069217,405187548
140.190486561,364457325,405328835
142.193580477,364304504,405461742
144.199916002,365254563,406248251
146.202476356,364635813,405684572
148.203921676,364487169,405398712
150.2064815,362868775,406699467
152.207915226,353389867,420099437
154.210453991,353740309,420595325
156.211914817,353141544,420290191
158.21591281,357139284,400827870
160.217771352,362867341,407163921
162.219919041,361749965,405362152
164.222518337,362878245,407024984
166.224203008,362633069,406811056
168.22791501,363165013,407350237
170.231913896,363212214,407399410
172.234503157,362821957,407260055
174.235916231,362993405,406861305
176.239915923,363456309,407340171
178.242518705,363298265,407191192
180.247914412,363807678,407568656
182.250518668,363484255,407221787
184.251917741,362965261,406615200
186.254503569,363298199,407663929
188.255916917,363283531,407363813
190.258485068,363529472,407742176
192.259918145,363221571,407408774
194.262920632,363564015,407607255
196.267916477,363904279,407914834
198.270507111,363209525,406981344
200.271917792,362911896,406710211
202.274492882,363097208,406687714
204.275914765,362828271,406432754
206.278453769,362883984,406342676
208.283281109,363217418,406146620
210.287916712,363507810,406799588
212.290464307,363066291,406172984
214.291917609,362974363,406067698
216.294486767,362995427,406091444
218.295919282,358810821,401042595
220.298507903,341678499,428593039
222.301187718,341949656,434383151
224.305385407,341152452,434029536
226.31191288,342691587,435649922
228.314503233,342105449,435381479
230.315920201,341934029,435227702
232.318522699,342171175,435500097
234.319920985,342195535,434955167
236.322496531,342419571,435242746
238.327221652,342491773,435364300
240.331917008,342414454,435700726
242.334458515,341047291,433989763
244.335919755,334513078,424899740
246.33847068,332514168,425719379
248.339929569,336947010,428094104
250.342480559,332387738,425335274
252.343921249,334991021,427816194
254.351919344,342068902,436086101
256.354533075,341252924,434921172
258.355917947,340888298,434608573
260.358481909,341201754,435040418
262.359917009,340834214,434577614
264.362496885,341249652,435130561
266.363918943,341137637,434958448
268.366462266,341128189,435169403
270.367918413,341158441,435031114
