Time,Remote DRAM Accesses,Local DRAM Accesses
2.002017054,15975,8348170
4.004144672,10736,19082300
6.007896075,58327252,90005478
8.009222186,342617421,403005143
10.011832562,348502678,403752558
12.01589858,351247262,402170698
14.023895379,353788225,401918807
16.02645939,328693584,418619662
18.02864809,336712971,426258430
20.031260355,338564528,422269552
22.034015677,340880993,421080615
24.036435298,343609736,420468429
26.039050346,345457286,419149355
28.045926723,346498634,417806617
30.048424427,348090158,417521865
32.051034494,348269623,416016593
34.053480495,349935069,416479234
36.055918129,350664944,416312250
38.061922512,351367877,416161893
40.064426807,352120590,416304225
42.067057287,352578476,416328270
44.069474781,352367843,415247729
46.07191157,353570303,416570771
48.077927103,353836674,416277864
50.08042145,353862076,416389606
52.083044753,354481599,416817610
54.085484263,354024954,415849891
56.08791893,354907543,416966363
58.094433586,356061812,418042906
60.095899201,354631378,416387041
62.098467019,355914974,417553952
64.09990032,355011860,416442055
66.102478759,356273560,417588580
68.107896625,357305740,418552453
70.110450108,356024262,416876968
72.11189954,356816900,417520610
74.114534501,357461402,418066594
76.11589865,351441964,412260379
78.118491392,353705454,416995384
80.123900161,355797735,419564184
82.126517975,354814129,418121908
84.127899199,356128083,418418904
86.13048774,357147293,416561229
88.131901581,357778392,417025426
90.1344729,358560329,417708424
92.135895992,357371356,416271939
94.139893672,358833433,417785107
96.142449815,358012410,416788221
98.143902486,358552955,417267529
100.147894559,358896726,417522583
102.150470485,357967043,416680654
104.154936328,359142228,417809700
106.155900714,358745913,417215781
108.158458501,358275534,416631998
110.159901438,359078024,417633541
112.162482642,356957511,418342932
114.167901429,358403784,420266570
116.170506042,357865564,419531571
118.171904115,356606633,418017326
120.174520429,357750037,419268267
122.17590351,357393596,418822906
124.178475744,357572676,418882077
126.179900353,357710438,419019603
128.182957802,357286690,418463615
130.187912731,358466848,419772115
132.190539553,358139493,419256635
134.191904606,357003681,417816640
136.194502103,358080573,419100759
138.195900351,351956650,411102913
140.198511601,358608885,416314380
142.203900514,358591652,415840435
144.206532181,359982749,414370759
146.207898967,360361763,414855255
148.210470833,360660780,415301652
150.211901829,359713997,414084094
152.214474427,361002810,415637551
154.215902963,360288710,414731654
156.21989764,361245155,415918867
158.222430519,360985499,415600276
160.227896407,360833434,415354794
162.23043728,360595195,415272714
164.231902992,360677835,415299591
166.234485343,359610285,414192627
168.235905893,360190928,414755272
170.238467954,359981133,414584971
172.239901828,360116576,414749931
174.243895604,360396780,415181929
176.24644562,359773772,414449457
178.247902239,360587983,415324856
180.251896241,361021881,415793707
182.25445363,359986163,414639748
184.259899778,361539106,416288314
186.262493953,360088097,414688855
188.263901928,360672645,415317467
190.266485568,361021440,415658479
192.267901154,359989256,414618617
194.2704624,360942236,415583831
196.271900349,360676488,415217628
198.279912287,360828473,415569807
200.282502509,353022742,409503174
202.283902536,358112724,415776697
204.286512809,358019569,415588282
206.287903097,358891020,416658139
208.290466458,358255589,415038693
210.29190398,359961321,414441363
212.294521695,360007769,415345096
214.295904067,359335105,413697667
216.299899908,360460919,414931585
218.302483355,359853322,414160441
220.307902494,361100503,415659690
222.310446545,360490295,414993432
224.311902074,359312595,413770492
226.3145313,359575940,414486320
228.315902669,358955448,416680738
230.318507567,358241417,415748929
232.319900409,358929853,416642710
234.323898297,358246983,415894535
236.326517382,358725126,416334563
238.331241883,359110710,416796289
240.335901404,358158626,415887705
242.338489467,358664329,416237260
244.339899648,358573985,416092548
246.342500571,357607749,415083954
248.343901238,358434708,415928833
250.346502596,357621122,414995404
252.351897365,359278651,416962629
254.354504266,358821546,416474357
256.355899773,357521069,414799766
258.35850677,358862171,416406658
260.359898686,355625997,411925038
262.362503807,358534742,408638409
264.363900459,361713351,412975944
266.367899413,359657764,410833447
268.370529288,361859253,413156525
270.375904018,362459501,413825613
272.378505235,360983185,412125967
274.379899123,361646644,412883399
276.382492586,361676428,413063848
278.383900103,360575312,411519133
280.386511842,361559939,412752308
282.387898769,360410487,411356175
284.391895801,361657911,412974082
286.394470226,361382910,412629371
288.398652936,360813792,412064736
290.40393208,361964679,413226085
292.406546472,361087185,412287830
294.407900959,360759989,411871323
296.410530928,361642818,413007609
298.411900274,360200665,411388920
300.414483393,361519097,412780025
302.419896867,362278487,413671393
304.422508525,361357596,410625015
306.423907487,363148308,411057628
308.426540024,362843015,410708241
310.427896808,363480775,409089080
312.430492184,364821428,409375778
314.431901174,363958149,408403381
316.43589228,364883628,409444508
318.438488549,364715905,409233632
320.443897596,364553353,409103667
322.446466285,359548643,402845338
324.44790295,362922478,407314353
326.450513962,363325978,407848560
328.451903681,364702754,409216029
330.45451223,364016358,408410829
332.455898149,363950578,408400918
334.463896975,365288989,409914664
336.466489167,363616878,408018269
338.467900785,364115398,408522611
340.470490206,363660062,408105693
342.471907386,364192467,408615945
344.474491187,364763451,409214850
346.475899317,363533479,407598860
348.47851173,364576753,409023677
350.479897515,364302179,408691501
352.483895438,363866872,408154556
354.486475226,364582492,408932190
356.491897489,364730423,408569363
358.494473145,366356391,407075781
360.495899806,366155600,406912158
362.498482481,365588079,406387726
364.499899319,366304535,407134707
366.502526194,366381872,407218600
368.503900835,365339221,406175537
370.507896038,366770235,407606585
372.510512834,365625795,406569983
374.515895381,366898598,407767178
376.518529906,366598178,407448177
378.519899043,365569136,406315618
380.522488534,366353548,407273523
382.523900063,366487278,407369849
384.526495017,361419131,397565808
386.5294827,370221017,403943816
388.531924069,368244614,401833465
390.535903004,370413813,404254365
392.538530403,369947960,403743842
394.54389937,369611594,403476387
396.546503311,369934398,403727640
398.547905755,369604993,403390329
400.550502902,368454292,402222681
402.551902167,368897675,402767449
404.554523767,368748430,402558083
406.559899853,370053440,403891163
408.562520927,369483550,403277522
410.563904083,368473210,402134132
412.566485542,369617670,403468798
414.567897825,369326966,403111955
416.570479857,368660711,402390782
418.571902162,369232848,402998008
420.575899005,369268931,402334777
422.578513401,371487583,401437386
424.583899555,372122600,402141536
426.586531802,370527425,400386703
428.587901465,371152092,401196209
430.590505964,371387254,401383603
432.59190048,370577918,400495905
434.59450765,371496370,401589295
436.59590173,370356460,400396911
438.599901828,371941130,402043449
440.602531797,371540330,401557037
442.607751072,369888908,402036525
444.613368106,366464005,400785714
446.616946317,362805405,403419419
448.623901085,366709565,407721288
450.626476252,364534852,405425708
452.627903643,365273894,406175051
454.630502334,366149559,407195375
456.631897421,365977801,407050347
458.634461456,364303023,407352958
460.635901409,364224351,408779316
462.638463292,363968446,408536298
464.643897187,364762274,409298362
466.646467827,364511389,409002048
468.647900441,363607782,408095914
470.650449329,364578789,409116424
472.651899647,364213247,408698728
474.65450921,363336863,407652599
476.659897274,364594660,409116989
478.662465111,362997528,407439511
480.663898163,363700552,408090464
482.666465733,364089251,408471790
484.667902589,363097717,407362000
486.670486422,364062536,408473566
488.671900418,364105367,408474763
490.674439729,363319407,407769801
492.677514372,364246779,408674455
494.679898058,363556256,407867456
496.683899374,364129374,408499363
498.686488511,364254617,408665016
500.687896557,363386759,407491812
502.69189481,364787330,409167876
504.694479221,364435551,408742285
506.696263944,357633741,401590962
508.69989697,364171186,406387171
510.703898495,364352794,408657398
512.706454791,363313142,407578391
514.71036464,364974974,409320290
516.711901655,364401963,406891173
518.714477511,366228509,407077010
520.715901761,365909562,406740356
522.718450024,366547991,404622473
524.723902581,368594675,405952138
526.726446801,366803004,403980470
528.727901089,366866442,404026807
530.730466713,367809491,405029273
532.731902061,366930249,404089814
534.734486948,367742029,405041962
536.735900472,367616036,404840175
538.739898767,367274310,404492817
540.742486954,367863740,405170725
542.747898856,367450073,404798672
544.75045747,367982695,405345279
546.751902381,367727401,405021414
548.754480516,367071736,404546726
550.755901682,367746581,405096920
552.75848726,368024364,405380894
554.759898868,366955638,404369477
556.763894356,368292543,405738635
558.766464605,367194787,404696987
560.767901784,366499216,405767103
562.771899104,366461879,407461388
564.774474774,365099628,406009613
566.779506562,366378668,407171308
568.782093339,359180752,399978272
570.784429299,366823082,404121423
572.787047143,364950042,404816913
574.789473658,363614437,407712160
576.791916086,364258191,408668412
578.797927304,365032269,409432280
580.800425568,363599450,407669375
582.803052295,364435227,408647024
584.805481451,364414694,408663218
586.809923042,363825209,407811708
588.81242435,364417107,408558990
590.815916123,363762380,407897584
592.818536463,364482388,408817150
594.823915382,364884415,409158971
596.826492999,363523884,407753426
598.827904018,364153751,408442182
600.830498425,364225248,408504577
602.83190202,363397445,407486624
604.834518351,364636038,408988874
606.839897625,363795322,409039284
608.842479363,363002200,410777136
610.843897213,362718696,410478570
612.846470807,361967216,409676219
614.847898599,362743314,410545002
616.850495959,362396779,410183245
618.851899635,361868121,409566885
620.855899117,362760634,410444569
622.858514601,361643831,409320033
624.859919782,362665553,410385907
626.863895255,362813729,410455521
628.866469914,358455610,406642687
630.870017405,355794709,412874746
632.873430761,356822565,417417414
634.875896911,354828452,415088901
636.878528081,356745739,417414847
638.882713747,356201258,416836690
640.883903418,356320217,416948573
642.885098522,356390279,416940548
644.886727562,355150808,415620012
646.887895291,356556481,417124862
648.890556052,355837940,416409646
650.895899256,358393624,415999881
652.898480183,358177858,415766549
654.899913099,356886468,414320055
656.902547381,358171277,415713886
658.903904211,357942152,415424456
660.906520158,357296482,414845366
662.91190082,358593638,416277072
664.914518484,357009161,414322623
666.915905141,357905127,415563130
668.918510337,358108310,415837763
670.919897566,356926360,414496140
672.922489585,357768917,415347535
674.923902034,357579157,415117058
676.927903137,357180431,414574987
678.930486301,357707442,415235062
680.931903813,356629127,414062646
682.939481868,358582342,416181839
684.942105158,357557965,414939204
686.943902708,356408510,413705519
688.946499277,357858311,415252952
690.947904881,351860311,410991604
692.950523288,356493635,412031804
694.951902256,359342263,413739500
696.954485073,357420666,411367799
698.955897274,359128481,413601129
700.959896302,359820129,414316395
702.962499227,358669097,413066510
704.967901958,360090385,414576695
706.970508301,359486563,413909566
708.971900748,358348229,412614575
710.974494666,359359867,413809562
712.975908973,358380937,412540536
714.978522735,359458829,413870159
716.97990221,359397708,413748759
718.98389809,358548826,412680431
720.98653385,359425054,413717334
722.991898598,359877955,414303363
724.994491377,358818647,413078563
726.995903565,358905040,413076365
728.998505938,358354156,412733429
730.999900239,359186962,413594050
733.002496694,359112679,413521455
735.007901821,359120047,413518897
737.010503567,359423212,413761321
739.011898097,358639054,412845062
741.014473579,358913350,413119424
743.015898942,359336278,413628023
745.01849361,358693435,412888355
747.019931754,358900293,413059192
749.023906034,359717841,413996883
751.026509907,358326967,412355561
753.031903291,354777674,407164795
755.034489198,358627888,412650158
757.035897751,358051370,412122693
759.038490631,359610022,413828470
761.039900475,358127343,412217241
763.042476685,359618330,413911574
765.043900797,359264865,413480499
767.047898302,359135513,413297190
769.050485713,359516002,413802143
771.055899149,359292578,413542821
773.058481214,359382931,413607455
775.059895833,359183895,413430548
777.06247762,358653697,412930618
779.06389439,359489291,413779120
781.066462646,359790796,414144588
783.067898498,358665775,412888760
785.071900827,360036614,414413685
787.07449526,358825834,412883537
789.075903555,359054968,412847079
791.079901386,359880096,414370368
793.082494609,358788672,413197285
795.087901826,360009209,414576939
797.0904783,359504580,413997252
799.091900144,358539957,412836522
801.094531902,359443766,413811614
803.095897953,358282217,412631280
805.09846959,359042071,413402281
807.101046884,101164047,116259767
