Time,Remote DRAM Accesses,Local DRAM Accesses
2.002019772,13376,8462025
4.004143875,8223,18966463
6.007905934,106415840,41282772
8.010494265,562347129,129564179
10.011906254,548906733,152379464
12.015909702,533879832,173101977
14.01848668,521956237,192388329
16.019906827,509665077,209158012
18.023902291,498341284,224157639
20.026471189,489434963,238114069
22.031902088,481550688,250910998
24.034473911,471941212,261065879
26.035907328,465956843,271699312
28.038451093,458800375,280191980
30.039904837,453935810,288691339
32.042484587,448955177,296244485
34.043905934,443653609,302298934
36.047902351,441395019,309779080
38.050516846,436977526,314896705
40.051906135,432586496,319135681
42.054546604,424300158,319878866
44.059205573,426682867,327600260
46.063914176,424766810,331852820
48.066497486,423326409,336041002
50.067909695,420326641,338371099
52.070480045,419723172,342317739
54.07191307,417807284,344790854
56.074451272,415584772,346743486
58.079905103,415902692,350358161
60.082453684,413103929,350958726
62.0839075,413232931,353810750
64.086480435,412148793,355301290
66.08790813,410206120,356090489
68.090467379,410571120,358512871
70.091914535,409472073,359447871
72.094472958,408438735,360391922
74.099905979,409400062,362856987
76.10248785,407448884,362593958
78.103907522,407109043,363698905
80.106447133,406663126,364527762
82.107910104,404983661,364095908
84.110434348,405940084,366041607
86.111910638,405443498,366614132
88.115903049,404683408,366836799
90.118456862,405384627,368138319
92.123014997,404293136,367844407
94.123905175,404017459,368355466
96.126452269,404158060,369032861
98.127913049,402846598,368365507
100.130469312,403837999,369669914
102.131911703,403115088,369495767
104.13590694,396678883,364072002
106.138534775,403650080,370738724
108.139907508,401078522,368676095
110.1439067,403833209,371508211
112.146483906,403034638,371047076
114.151912199,402228577,370588021
116.154509306,402625641,371235719
118.155908537,401605006,370551281
120.158463411,402018100,371189225
122.159908953,402015392,371417916
124.162442036,401541105,371188518
126.163907378,402264878,371998881
128.167420622,402792045,372685100
130.169997252,401594563,371675475
132.173997465,402587692,372713908
134.179381797,402104975,372381451
136.183908029,398308724,368837177
138.186509887,402052904,372418622
140.187910053,400804353,371176923
142.191908258,401981951,372494689
144.194479053,401747048,372368334
146.19990755,401638007,372263965
148.202530804,401473091,372210391
150.20390793,400371337,371206570
152.20652307,401566062,372405219
154.207913854,401181230,372054181
156.210524435,401102883,371902834
158.212312829,401972249,372724225
160.215904775,402084410,372909541
162.21849815,400488694,371415954
164.223851356,398427364,369666725
166.2264805,397270565,367973076
168.228957569,401232619,372276417
170.231556232,400277461,371381723
172.234944193,401026798,372105934
174.238073693,401774385,372715892
176.24390721,401988061,372945792
178.246519043,400731533,371658541
180.247905261,401579329,372383989
182.250468557,400654115,371617276
184.251917751,401415096,372326518
186.255903862,402180556,373140641
188.258498165,401098499,372063901
190.259908276,401459233,372409169
192.26390538,401849098,372831000
194.26648836,400378649,371407509
196.271904202,401904567,372830039
198.274478486,400303798,371327784
200.275911294,401059443,372198791
202.278504622,401270022,372448769
204.279905845,400156509,371432815
206.28249201,401350164,372611275
208.283906251,400969990,372219725
210.287904306,400854684,372142839
212.290479449,401472885,372756037
214.292962842,400349653,371628255
216.295574505,401478099,372616186
218.301930824,402280185,373405168
220.304440745,400791825,372029796
222.307049977,401761761,372933578
224.309478499,401532837,372725101
226.311929326,395531085,367177621
228.319904146,400370083,371633875
230.32251781,399840002,371470537
232.323908942,399258652,370828757
234.326484963,400933067,372421367
236.327910067,399411644,371088338
238.330502259,400749879,372343997
240.331907558,400245513,371950700
242.334477605,399900835,371814851
244.339904824,401522874,373284393
246.342484665,399738150,371620216
248.343912552,400469036,372287435
250.346510834,400747209,372560680
252.347910996,399597007,371396705
254.350492041,400827346,372498103
256.351907291,400470451,372232964
258.355903308,400241605,371882208
260.358483521,400618890,372384064
262.359908706,399640874,371506163
264.363906758,401094583,372922284
266.366473158,400817102,372566823
268.371904136,400318819,372083438
270.374514978,400572729,372291877
272.375911711,399687814,371468798
274.37848513,399761840,371583114
276.379906579,400161841,371997831
278.382486862,399172162,371029426
280.387903828,400738515,372486430
282.390490027,400325024,372026899
284.391907358,399422410,371062955
286.394499189,400546140,372193356
288.395907482,393496875,365318349
290.398505125,399640662,371443306
292.399909791,398805614,370724816
294.407011054,400134073,372026248
296.411909661,400946136,372792892
298.414485884,400702581,372632770
300.415905818,399416060,371534440
302.418503041,400465431,372471255
304.419909264,399660102,371696887
306.4225005,400641252,372684891
308.424975814,400515859,372530669
310.427727981,399574662,371618314
312.435905314,401658406,373590392
314.438448077,400440682,372434575
316.439908566,399477144,371550678
318.447906871,401799948,373733914
320.450482254,399856707,371880334
322.455907023,400714135,372798626
324.458485433,400233197,372299766
326.459908731,398862789,371003070
328.462493161,400319493,372291714
330.463907624,400053732,372045405
332.46646957,399260713,371321543
334.467908661,399869617,371845487
336.470491235,399501714,371468109
338.475924513,401053252,372904488
340.478518294,400413513,372372140
342.479906518,399025582,371091412
344.482445106,400352223,372316911
346.483912744,400002782,372046619
348.486975335,397990458,370169869
350.487912698,394680716,367014895
352.491908355,399489985,371710726
354.494464992,398962209,371265174
356.499908777,400839940,372994995
358.502515943,399679060,371855917
360.503906222,400136371,372376092
362.506456433,400057685,372228786
364.507907501,399177689,371196449
366.51050877,400199338,372174975
368.511908671,399266701,371272371
370.515904122,400756400,372605086
372.518447097,400543411,372353664
374.519906629,399242856,371063206
376.523912621,400644965,372387737
378.526497659,400603377,372266499
380.531906434,401122941,372814450
382.534459076,400575998,372300425
384.535903509,400030416,371806471
386.538474198,399977563,371685862
388.539909638,399897580,371577334
390.542473765,400231663,371918039
392.543907506,400094966,371823477
394.54791339,400438160,372156684
396.550527634,400113259,371992508
398.551908434,399752369,371651449
400.555904092,400519965,372315686
402.558499209,400315205,372142524
404.563906654,400759419,372581580
406.566443458,399843408,371688267
408.567907536,399880192,371708649
410.570454113,396231799,368088688
412.571913704,397585824,369740630
414.574551217,400266501,372034854
416.576473868,398736615,370602815
418.579273037,400362152,372116605
420.582034134,400352797,372191623
422.587908154,400915050,372808795
424.590514779,400304113,372145420
426.59296159,400089755,372019281
428.595577215,399947644,371833161
430.601937839,400838807,372746454
432.604433009,400222322,372083239
434.607000522,400430378,372259522
436.609480208,400284123,372118339
438.611909222,400067784,371758646
440.617985296,400985246,372552406
442.620438245,400502713,372122784
444.623024861,400604612,372149782
446.625483905,400401638,372041309
448.631907958,400770948,372385063
450.634478645,400434163,372101470
452.636944416,400365060,371977923
454.639496539,400679842,372296316
456.642516111,400615882,372171246
458.647907675,400879961,372361190
460.65048979,400063709,371639604
462.652459976,400041735,371715553
464.656785493,400173366,371825870
466.663908183,400855335,372426728
468.666515338,399870331,371515363
470.667905759,399376579,371028961
472.670491752,394475786,365798740
474.671910437,398916076,370561799
476.674541266,399933823,371611958
478.675907715,398855858,370531168
480.683907195,400961259,372586468
482.686475838,399812142,371614130
484.687906419,399474474,371186056
486.690502079,400247818,371874883
488.691907093,399847125,371498932
490.694499221,400136627,371807765
492.695907368,399846598,371544255
494.698499895,400283317,371955971
496.699909518,399931644,371656907
498.703904231,400420468,372100819
500.706503121,399982232,371798294
502.711904299,400518732,372208275
504.714495971,400218635,371979389
506.715906053,400075568,371830240
508.718468936,400050525,371783612
510.719909937,399746512,371500931
512.722498028,399975180,371612886
514.723907444,399940643,371557765
516.727904162,400683598,372147413
518.730450195,400571126,371937896
520.73190718,400111949,371597834
522.739902117,401308742,372737794
524.742471282,400351315,371771371
526.74390401,400286682,371763904
528.746467667,400271796,371738865
