Time,Remote DRAM Accesses,Local DRAM Accesses
2.002085713,49924,158446
4.004315723,19784,164753
6.006453326,21504,172186
8.008651359,26739,178486
10.01081933,22464,176420
12.013017855,23828,182659
14.015188807,25996,235847
16.017389056,21749,173642
18.019547159,25636,184944
20.021715518,24913,219624
22.02389496,30061,203998
24.026087623,23684,186027
26.028263178,19212,181564
28.030430072,21766,187144
30.032597524,23922,184711
32.034766419,20776,181161
34.036977626,21982,187383
36.0391515,22141,183591
38.041310213,26961,184516
40.043484335,20233,174509
42.045656019,22362,178789
44.047847681,20930,180651
46.05002524,18746,172161
48.052186398,22976,181830
50.054349077,19637,172617
52.056515337,19602,170539
54.058677915,23443,187961
56.060837934,17999,168635
58.062990829,24071,177014
60.065144832,20166,173839
62.067325593,21412,167573
64.069520886,25228,180913
66.071694995,17414,171453
68.073914255,18507,170979
70.076073491,22806,175236
72.078241243,18505,170208
74.080400612,21758,175062
76.082568922,23453,168241
78.084724929,24063,169274
80.086900476,23047,168798
82.089070092,21271,163440
84.09122545,21332,169546
86.093402189,19581,162282
88.095565009,20955,162607
90.097736512,144541,237796
92.099915895,20588,161496
94.10207757,24652,171896
96.104250233,22637,162698
98.106421896,22975,165928
100.108631628,22740,169984
102.11080555,19031,162032
104.112981158,23084,164331
106.115135896,21102,165351
108.117299746,18951,161103
110.11946936,25205,170407
112.12164448,20201,159223
114.123771026,24387007,24557345
116.126012907,11336353,22709098
118.127840432,11595386,22206046
120.130068275,11901742,23103018
122.131842797,11550171,23815243
124.134075756,11735101,24504343
126.135840425,10330326,26963876
128.13806789,9329508,27649190
130.13984315,9981969,28181221
132.142353683,10381653,27453410
134.144385633,10584697,27754815
136.146817648,11240221,28613719
138.148906039,11043230,29453633
140.151343839,11358216,30100891
142.153435346,14610010,29901605
144.155868785,15202704,29691066
146.158639236,18276958,28200230
148.160915316,23118763,23958030
150.163355762,23688724,24271188
152.165438916,21761690,27359636
154.167864297,20417493,29236248
156.170309071,21361137,29661439
158.172387429,25016399,26355530
160.174857408,25261599,26499598
162.17691266,23786965,29421554
164.179429709,21679316,32331817
166.1814372,22489615,33108591
168.183853412,26874486,29298244
170.186093287,27662021,29029596
172.187840903,26388874,31888242
174.190088987,24499855,34928991
176.191841766,24952354,35724883
178.194076106,32846755,28905591
180.195844039,35106668,27248812
182.198084059,37096045,27145158
184.199843359,40036289,24112385
186.202080348,40855395,24528952
188.203843285,42582096,25149405
190.206083252,42592142,24935787
192.20784278,43283593,25679513
194.210074057,44133710,26273185
196.21184202,44534552,26462668
198.21407077,44322294,29371693
200.215841797,41258904,33035615
202.218071537,41978871,33246900
204.219842789,44143054,33553851
206.222082698,44397825,33062879
208.223842671,45714214,34537947
210.226087418,45801208,34639142
212.227841336,46211419,35410314
214.230070398,49547465,33419060
216.231853567,51201789,31372552
218.234084712,52368071,32159785
220.235842086,53459192,32032546
222.238074016,53966442,32630444
224.239843861,53086523,35909608
226.24207996,50387186,39691833
228.243841595,51090982,40078930
230.246124254,49248267,44438635
232.247841623,49223436,44888637
234.25007835,49728584,46536555
236.251846407,50444961,46295747
238.254083229,53895299,44263770
240.255842692,54166161,46417711
242.25808037,52564572,48106222
244.259850252,52538770,50145173
246.262084092,46988617,56426119
248.263844001,46908160,57443647
250.266078292,47186789,58190391
252.26784126,47859702,58533264
254.27008065,47879773,59191337
256.271840518,48437623,59783578
258.274076877,49336364,60243068
260.275842417,49809386,60521203
262.27812394,49976884,61049461
264.279845227,50327115,62747309
266.282084619,50920503,63649190
268.283843235,51442267,64197624
270.286086832,52276391,65331736
272.287843452,53346142,66487889
274.290084483,53700384,66466582
276.291842736,54134279,66872765
278.294097476,54982618,66970485
280.295844814,55624489,67718400
282.298080125,56192013,68579584
284.299841083,57017142,69046310
286.30206607,57808979,69781527
288.303853294,62309136,66051980
290.306101334,65412705,64227729
292.307840772,66128331,65060478
294.310117566,66698346,65673753
296.311845223,67264921,66446852
298.314078001,67961709,66756732
300.315844475,68551563,67340935
302.318090335,69354850,68093270
304.319842594,71029968,68391738
306.322080562,71387537,69431552
308.323844533,71905970,69919218
310.326091623,72607029,70387095
312.327843332,73484247,70981643
