Time,numa_numa_remote,numa_numa_local,numa_regular_remote,numa_regular_local,numa_reverse_remote,numa_reverse_local,regular_numa_remote,regular_numa_local,regular_regular_remote,regular_regular_local,regular_reverse_remote,regular_reverse_local
2.002050306,0,0,0,0,44498,147159,0,0,0,0,0,0
2.002062318,37211,132202,0,0,0,0,0,0,0,0,0,0
2.00206621,0,0,49015,174058,0,0,0,0,0,0,0,0
2.002068502,0,0,0,0,0,0,26863,118389,0,0,0,0
2.002072392,0,0,0,0,0,0,0,0,26070,86726,0,0
2.002107607,0,0,0,0,0,0,0,0,0,0,28715,121273
4.004216333,0,0,0,0,20849,179061,0,0,0,0,0,0
4.00427746,24253,179608,0,0,0,0,0,0,0,0,0,0
4.00428107,0,0,0,0,0,0,3231,117625,0,0,0,0
4.004304212,0,0,0,0,0,0,0,0,3144,118676,0,0
4.004312898,0,0,18549,168178,0,0,0,0,0,0,0,0
4.004363978,0,0,0,0,0,0,0,0,0,0,3130,120239
6.00634868,0,0,0,0,21406,169582,0,0,0,0,0,0
6.006448094,0,0,0,0,0,0,2803,119268,0,0,0,0
6.006462198,0,0,0,0,0,0,0,0,2677,120341,0,0
6.00647534,20989,166224,0,0,0,0,0,0,0,0,0,0
6.006481685,0,0,23157,174051,0,0,0,0,0,0,0,0
6.006567658,0,0,0,0,0,0,0,0,0,0,2920,119482
8.008485312,0,0,0,0,27340,175436,0,0,0,0,0,0
8.008614999,0,0,0,0,0,0,0,0,2891,124301,0,0
8.008642965,27080,173895,0,0,0,0,0,0,0,0,0,0
8.008650439,0,0,23490,165839,0,0,0,0,0,0,0,0
8.008664804,0,0,0,0,0,0,2928,122869,0,0,0,0
8.008702134,0,0,0,0,0,0,0,0,0,0,3050,123059
10.010625407,0,0,0,0,21772,172343,0,0,0,0,0,0
10.010774365,0,0,0,0,0,0,0,0,3118,129310,0,0
10.010822763,0,0,23859,183475,0,0,0,0,0,0,0,0
10.010834002,0,0,0,0,0,0,3107,128986,0,0,0,0
