Time,Remote DRAM Accesses,Local DRAM Accesses
2.002062318,37211,132202
4.00427746,24253,179608
6.00647534,20989,166224
8.008642965,27080,173895
10.010845018,21441,179307
12.013060941,21890,181414
14.015230936,24441,183467
16.017406426,20226,174410
18.019574034,40713,202935
20.021743035,23110,180551
22.023966295,22398,173322
24.026143482,25427,184172
26.028315997,19397,174806
28.030493816,18631,180411
30.032674978,24519,191912
32.034865979,19505,180317
34.037090933,20819,187157
36.039268554,20813,181517
38.041455677,21734,180211
40.043647909,127547,256921
42.045829032,21681,186373
44.048005957,19811,188820
46.050208469,19098,179625
48.052397178,19851,174748
50.054585014,20763,184452
52.056776509,18349,169767
54.058949008,19208,172555
56.06112008,18267,174364
58.063306378,20050,171170
60.065494213,21317,177661
62.067686035,19948,168540
64.069875329,22504,173209
66.072046229,19530,178053
68.074260311,16590,169978
70.076446854,22429,181262
72.078636268,16729,170879
74.080822983,16815,168644
76.083015754,24428,178713
78.085205866,22434,168689
80.087381752,21004,175795
82.089568563,20249,170543
84.091749461,16910,167521
86.093957529,21162,176132
88.096140983,19728,162549
90.098321714,18680,168550
92.100490572,21481,169149
94.102680295,19648,164253
96.104853767,25177,171444
98.107035442,21600,167419
100.109267847,17712,165495
102.111461778,21927,171531
104.113648392,20494,166070
106.115849058,21170,174898
108.118036771,19298,163404
110.12023333,21936,166560
112.122426659,21487,174148
114.123842747,2584737,28215831
116.126076122,2751673,1333071
118.127843357,2231909,1146074
120.130064124,2255845,1147669
122.131842246,2839299,1274357
124.134065201,2351897,1165038
126.13584419,2640822,1220244
128.138031039,2696565,1235839
130.139843476,2472221,1187620
132.142109442,3124484,1331772
134.143843662,2779545,1290111
136.146065326,2864861,1307057
138.147846979,3651932,1488302
140.150069867,3402914,1469522
142.151853359,4330543,1692685
144.154084768,3998515,1618118
146.15584822,4163761,1678830
148.158074173,4328796,1699068
150.159842619,3638434,1557615
152.162070467,4021494,1650268
154.163842059,3741927,1583262
156.166070676,3365697,1517741
158.167844056,3942810,1637039
160.170057449,3358160,1505478
162.171841005,3497167,1560244
164.17409838,4203197,1743665
166.175843336,3573739,1608245
168.178057872,4339769,1812703
170.179843281,3738655,1680464
172.182063575,3922348,1749474
174.183840858,4520035,1898144
176.186067651,3919469,1757324
178.187843915,4537084,1920436
180.190056091,4224992,1871007
182.191845141,4160321,1855726
184.194061166,4970346,2073372
186.195843816,4320368,1918998
188.19806128,4426949,1969711
190.19984252,5271359,2189732
192.202062776,4603132,2058013
194.203841734,5392019,2282669
196.206127196,4764867,2161593
198.207840222,4843184,2214650
200.210063102,5666365,2452855
202.211842971,5040445,2310109
204.214061046,5867716,2554665
206.215842369,5256303,2442975
208.218059583,5317742,2464588
210.219844665,6133695,2699911
212.222073183,5490608,2611897
214.223842616,5613506,2693638
216.226470965,6453843,2946916
218.227842754,5818270,2792176
220.230064053,6657350,3024775
222.231842995,6018566,2928433
224.234060738,6142305,3023945
226.235843172,6941807,3324202
228.238069588,6376480,3197879
230.23984333,7072072,3408303
232.2420741,6543197,3310393
234.24384224,6790651,3407980
236.246062485,7747816,3706020
238.247841986,6824513,3466956
240.250058972,7218512,3648110
242.251843881,7445902,3757568
244.254071678,7118328,3719801
246.255842404,7967318,4001245
248.258065242,7374152,3889718
250.259842476,7439856,3978429
252.262065345,8287841,4296030
254.263843194,7687834,4174768
256.266063025,8688950,4534495
258.267841349,7919619,4393142
260.270061904,8012002,4509011
262.271842965,8850908,4878400
264.274069823,8230079,4740729
266.27584316,8724992,4983497
268.278059873,8772274,5048378
270.279843276,8547558,5083259
272.282066587,9517326,5469858
274.283844184,8820305,5276103
276.286042889,8909471,5422310
278.287857063,9780448,5785707
280.290078669,9165417,5598819
282.291841491,9980993,6028943
284.294055013,9450274,5877922
286.2958452,9637999,6023850
288.298075241,10456210,6439546
290.29984799,9807993,6309789
292.302075666,10382958,6796005
294.303843113,10248076,6776852
296.306064947,10157580,6861666
298.307843118,10990317,7364226
300.310067318,10482256,7261594
302.311844547,10635044,7431350
304.314075315,11575629,7983562
306.315842558,10922650,7784939
308.318077102,13424587,9945224
310.319845225,11081734,8122264
312.322077257,11243886,8326703
314.323843596,11971316,8830901
316.326064769,11545351,8789653
318.327845155,12277143,9370741
320.330078423,11792448,9228184
322.331845341,11893082,9430047
324.334073389,12755066,10145696
326.335843282,12188135,10046345
328.338070041,12578465,10542514
330.339844392,12844559,10797494
332.342074079,12587617,10837962
334.343843535,13429476,11636403
336.346069323,12810242,11447952
338.34784368,12942401,11694792
340.350072669,13711176,12374525
342.35184377,13215314,12265401
344.354072897,13989885,13027971
346.35584483,13504122,12915930
348.358075627,13541588,13063295
350.359844151,14251149,13809637
352.362073133,13818958,13848555
354.363846514,14215563,14295407
356.366067524,14304186,14630625
358.367844409,14145990,14696948
360.370074242,14843552,15573614
362.371844509,14362433,15605257
364.37406967,14485003,15798452
366.375845624,15162762,16794769
368.378071551,14688282,16468583
370.37984314,15496043,17505296
372.382069925,14975133,17338230
374.383843446,15134645,17754536
376.38607656,15852729,18823377
378.387844157,15338232,18636872
380.390078037,15834732,19331242
382.39184427,15811456,19681843
384.394068143,15775331,19999796
386.39584532,16340318,20991741
388.39807831,15908288,20744797
390.399844253,16088173,21217692
392.402139665,16663250,22132884
394.403845234,16248564,22067308
396.406078976,16952846,23060124
398.407843982,16491684,22880903
400.410073546,16687051,23331785
402.411844163,17305301,24458011
404.414078793,16829900,24135159
406.415844988,17285190,25157247
408.418068897,17153298,25258884
410.41984444,17123660,25679741
412.422072941,17690321,26697955
414.423845838,17352393,26653535
416.426077935,17444469,27356330
418.427844199,18018963,28474191
420.430071507,17715607,28210268
422.431846678,18215964,29306107
424.434128247,17903293,29046645
426.43584512,17937491,29534705
428.438075614,18493870,31059896
430.439841886,18177938,30854407
432.442079665,18672740,32134488
434.443844017,18505565,32149079
436.446079333,18586332,32802133
438.447843226,19031961,34053892
440.450070934,18799945,34080371
442.451845484,18851741,34672950
444.454076212,19351028,36229614
446.45584507,19135355,35992238
448.458074062,19639692,37667352
450.459843777,19402910,37670141
452.462077168,19414535,38165828
454.463843636,19855717,39810370
456.466120365,19622681,39645771
458.46784591,20037513,41245792
460.470103996,19877798,41299050
462.472388076,19905266,41815687
464.474819926,20295768,43208970
466.476915189,20105714,43119032
468.484599576,20318523,43992258
470.486844217,20531400,45107992
472.491841185,20469008,45474285
474.49409043,20833326,47017549
476.495844718,20609458,46787976
478.498080279,20722945,47385918
480.499845622,21116510,49002487
482.502085526,20922274,48860905
484.503844852,21280530,50353003
486.506082157,21197971,50390211
488.507844713,21317990,51024487
490.510083266,21603120,52511811
492.511843402,21437329,52672178
494.514087122,21671463,53703849
496.515845208,21755773,54811972
498.518078097,21768675,55164893
500.51984828,22106651,56963884
502.52208475,21951509,56740473
504.523846744,22096447,57746666
506.526082694,22442859,59501276
508.527851633,22260383,59271741
510.530092801,22536631,61187833
512.531845619,22457018,60879081
514.53407252,22492619,61750218
516.535846736,22823959,63751888
518.538080458,22644817,63431669
520.539844621,22882468,64659604
522.542070458,23061627,65901372
524.543844046,23007272,66062772
526.546084015,23315843,68084961
528.547844402,23285036,67883303
530.550069906,23286099,68922245
532.551848399,23537327,71037148
534.554088733,23441461,70714764
536.555844048,23801163,73621773
538.558069126,23694774,72502482
540.559844584,23704801,73337050
542.562075337,23992171,75361350
544.563847427,23928534,75107379
546.56608725,24067111,76488426
548.567847528,24281049,77819236
550.570074257,24232189,78248853
552.571846653,24505622,80256769
554.574135116,24329112,80240835
556.575845775,24511105,81218060
558.578089106,24703523,83273168
560.579852935,24569005,83430631
562.582441238,24828843,85536916
564.58492547,24802484,85387952
566.587393384,24899785,86768773
568.589874402,25255657,89262878
570.591867901,25069279,88160757
572.594317651,25185217,89878849
574.596393199,25319781,91058545
576.598848383,25367544,91833935
578.600918756,25565332,94147487
580.603391587,25451532,93714821
582.605448453,25537461,95326520
584.607869354,25779823,97108584
586.610385275,25753927,97145344
588.611849178,25979840,99348282
590.614336092,26011254,99615241
592.616392646,26070704,101037001
594.618856158,26300349,102941336
596.6209221,26276886,103125469
598.623391593,26347496,104969335
600.625442206,26506964,105847912
602.627868892,26497223,106103212
604.63032843,26685489,108356513
606.632394679,26671022,108158432
608.634867618,26746441,109405291
610.635847263,26731977,118981850
612.638091474,26969407,112003829
614.63984738,27006189,113838017
616.642085907,27137215,114225942
618.643850054,27135518,115462799
620.646078317,27300720,117706005
622.647847545,27336379,117741533
624.650091643,27423447,119642938
626.651847592,27551980,120628591
628.654079969,27559887,121109574
630.655845657,27667853,123355532
632.658080392,27699072,123395749
634.659845484,27737624,124649793
636.662076232,27921070,127181381
638.663846218,27976603,127100111
640.666248347,28065063,129335318
642.667847921,28114488,129557018
644.670113765,28155793,130866102
646.671845725,28317145,133039463
648.674091225,28388929,132961166
650.67584427,28498759,134698092
652.678078741,28662088,135479914
654.679846794,28644448,135985196
656.68207267,28702513,138685915
658.683845943,28692294,138284668
660.686080588,28823988,139655827
662.687854788,29010815,142518839
664.690088485,29032660,141828289
666.691847528,29130044,144479363
668.694079781,29175125,144159848
670.695850067,29252080,145079046
672.698072982,29254834,147794116
674.699847132,29437645,147570045
676.702079247,29385025,149573560
678.704394304,29599454,150479151
680.70680504,29617479,151008812
682.708921153,29667714,153621778
684.711331097,29772043,153550442
686.71344722,29855046,154564550
688.715867684,29994121,157220474
690.718270886,30035001,156991395
692.719846538,30091491,159479729
694.722251834,30227145,159454188
696.724395996,30262319,160731888
698.726801943,30345725,163095442
700.728919566,30574040,162792000
702.731338856,30591213,164653390
704.73345311,30580638,165407905
706.735868774,30679567,166624579
708.738266814,30811745,169000309
710.74039851,30867031,169003866
712.742808796,30916442,170041215
714.74492027,30994640,172649258
716.747327999,31049988,172441446
718.749441552,31060390,174432450
720.751863672,31226968,174676876
722.754261515,31310253,175841650
724.756393825,31408568,178313184
726.758802056,31448229,178153857
728.760925534,31511134,180576109
730.763333907,31590116,180498480
732.765444622,31664568,181248174
734.767861263,31648250,183541529
736.770263887,31858960,183823409
738.772395718,31827717,184936658
740.774806033,31808592,187674995
742.776920888,31945061,187269502
744.779340188,32026109,190158502
746.779851021,32062520,189550822
748.782317931,32176129,190964387
750.783852319,32239089,193638664
752.786291559,32342206,193454357
754.788399801,32370120,195657663
756.790886305,32522555,196080418
758.792927692,32592766,196982057
760.795413094,32603382,199343732
762.797461156,32728856,199219183
764.79985462,32869067,200538663
766.802061455,32861044,201981554
768.803848158,32978953,202546037
770.806100492,33033413,205457547
772.807848624,33099256,205400558
774.810086594,33180578,205889498
776.811849485,33212328,208008050
778.814096673,33339595,207726854
780.815849111,33340664,210212679
782.818106261,33503306,210112513
784.819856072,33499737,211064776
786.822340937,33520771,213910412
788.824401874,33661188,213680474
790.826880862,33769372,215736460
792.828923057,33750893,216365106
794.831410999,33881669,217302364
796.833461311,33962744,219560527
798.835871947,34086467,219458139
800.838354055,34173538,220608508
802.840400946,34165320,222739841
804.842888897,34342367,222465450
806.844921374,34154985,223906605
808.847402222,34462752,224523015
810.849455924,34550278,225538173
812.851873668,34504097,227873942
814.854367498,34688547,227910165
816.856395012,34697241,229805908
818.858858479,34795394,230571514
820.860927361,34878746,231072804
822.86340752,34963258,233047824
824.86546116,35073403,233198067
826.867871593,35193602,234132462
828.870348481,35158069,236309818
830.872399341,35309847,236713705
832.874999165,35338338,239060428
834.877440552,35495472,238788599
836.879872761,35399630,239859013
838.882339733,35498624,241978936
840.88439908,35669026,241465495
842.88688206,35780639,243339334
844.888929432,35694586,243898146
846.891409734,35855192,244308532
848.893454482,35844606,246611468
850.895872806,36057419,246687147
852.899847161,36095649,247932095
854.90232579,36043367,249528349
856.904400676,36260265,249556304
858.906990997,36242814,251793108
860.907852801,36352624,251392296
862.91010611,36461265,252568213
864.911850199,36481318,254840294
866.9140997,36594169,254706442
868.91585168,36656690,256179967
870.918098077,36721838,256973838
872.919846179,36810667,257603824
874.922089186,36853805,260012832
876.92384832,37020306,259439616
878.926151559,37121115,260568398
880.927847585,37121347,262903653
882.930094379,37254958,262477013
884.931847179,37199360,264700327
886.934095039,37440221,264512524
888.935848457,37464652,265522617
890.938101111,37419320,267542803
892.939847492,37581175,267299191
894.94209573,37716141,269187203
896.943847602,37609857,269740792
898.946101073,37839630,270490743
900.947851094,37684565,276881392
902.950104298,37974525,272313699
904.951849245,37997338,273152826
906.954097963,38098565,275514895
908.955850054,38265455,275010979
910.95814771,38264845,277021283
912.959849096,38419188,276987031
914.96215218,10412063,34580173
916.58214963,5355720,5067153
