Time,Remote DRAM Accesses,Local DRAM Accesses
2.002068502,26863,118389
4.00428107,3231,117625
6.006448094,2803,119268
8.008664804,2928,122869
10.010834002,3107,128986
12.013026617,2640,128233
14.015178754,3078,128953
16.017326111,2892,129332
18.019494145,2699,128122
20.021661433,3195,126738
22.023829771,2854,127528
24.026021873,2811,133923
26.028194738,3367,135383
28.030378933,2737,134628
30.032543413,3373,135015
32.034734194,2672,134908
34.036959247,2821,134534
36.03914965,3191,135349
38.041322162,2986,134373
40.043486118,3113,130902
42.045624568,2714,124225
44.047795492,2554,123776
46.049968124,2914,121202
48.05214129,3129,121132
50.054305701,2744,122113
52.056468767,2555,121713
54.058642834,2765,121015
56.060812169,3073,122647
58.062987619,2773,120678
60.065168729,2670,121173
62.067338114,2909,122622
64.069523801,2757,120484
66.07169191,2867,122337
68.073911232,2606,120412
70.076084187,2485,119831
72.078262617,2601,120661
74.080439533,2390,114889
76.082612482,2965,111441
78.084778141,2911,110410
80.086958363,2799,110170
82.089131513,3373,112386
84.091318063,2843,111084
86.093494066,2859,110810
88.095657854,2771,111236
90.097829797,2644,110473
92.099998362,3220,111211
94.102178,2702,109745
96.104358533,3338,109807
98.106534532,2643,95508
100.108698823,2828754,27225900
102.110518953,2042004,973476
104.112748421,1739921,898049
106.114517974,1740367,903305
108.11674152,4507103,1363766
110.11851945,1807707,923572
112.120731937,2302812,1049131
114.122521045,1902950,959209
116.124742787,1942559,986201
118.126517588,2493416,1121458
120.128731476,2041636,1034088
122.130517625,2406896,1118209
124.132720397,2508895,1167513
126.134518192,2266968,1109802
128.136741381,2801943,1248631
130.138519012,2330884,1141187
132.140776576,2393440,1185936
134.142519174,2969770,1336621
136.14474409,2506811,1228411
138.146519615,3133290,1413153
140.148737472,2664347,1294923
142.150518821,2718503,1317196
144.152733972,3296093,1487045
146.154518892,2846450,1374090
148.156739323,3291482,1514097
150.158520439,3230556,1531475
152.160743156,3071539,1498639
154.162518053,3736304,1705868
156.164742654,3257680,1604430
158.166516417,3338671,1643093
160.168715896,4026357,1896052
162.170519183,3486469,1741157
