Time,Remote DRAM Accesses,Local DRAM Accesses
2.00206621,49015,174058
4.004312898,18549,168178
6.006481685,23157,174051
8.008650439,23490,165839
10.010822763,23859,183475
12.012992083,21373,176696
14.015164502,21820,175121
16.017325681,23330,185523
18.019496185,22214,178242
20.021669175,24692,177400
22.023830936,23043,170862
24.026021604,23160,176424
26.028189888,21515,183274
28.030361024,19312,179263
30.0325345,25156,187496
32.034690696,21049,187637
34.036908327,18835,178927
36.039085389,24974,189656
38.041259909,22953,179727
40.043435126,20609,178940
42.045606847,25582,192157
44.047784149,18925,179309
46.049981731,21590,182040
48.052151875,19997,176029
50.054322555,19565,173454
52.056491662,22541,176452
54.058666812,19643,171302
56.06084104,20066,174897
58.063007622,20781,171610
60.065182918,19772,172436
62.067354786,24009,175969
64.069528697,22374,171440
66.071695946,19200,172090
68.073884131,19340,172525
70.076062823,21429,170201
72.078236303,19914,176517
74.080412648,17315,166850
76.082585578,21240,171651
78.084760409,22793,178770
80.086938093,19653,166271
82.089109344,23537,179005
84.091279322,17534,161775
86.093453657,19465,159207
88.095626573,22526,170548
90.097800791,17391,159612
92.099971502,22330,169529
94.102140371,19582,163533
96.104310958,18979,164019
98.1064714,24829,173745
100.108684906,18603,164919
102.110852507,20108,164503
104.113015136,22501,164814
106.115185847,18825,160839
108.117357597,20599,170623
110.1195349,22661,165138
112.12170101,19335,161606
114.12383802,18885524,18957443
116.1260836,13862366,20854429
118.127908703,14118233,21444576
120.130151735,14192486,21057247
122.131908304,14549080,21046846
124.134153259,13254459,23656345
126.135909284,11774116,24681657
128.138134121,12905490,25188139
130.139910485,15636589,22542023
132.142184526,15712420,23067434
134.143910476,16549422,24092362
136.146144571,16979222,23925592
138.14791241,17311614,24627452
140.150135092,21411312,22975649
142.15191224,21922321,22725763
144.15438506,23029285,23888035
146.156457918,23411136,23586459
148.158931675,23596449,24114974
150.160986694,23908306,25647958
152.163452472,24542683,25924240
154.165507667,26497636,26340189
156.167934438,30428919,22182288
158.170400964,31095824,22357837
160.172451518,33770211,20840473
162.174916284,35674822,18600343
164.176986105,36356199,18899457
166.179456782,36738039,20047986
168.181501266,36961182,20291637
170.183931318,36664055,22957275
172.186385683,33651216,26719598
174.188457462,34087815,27111833
176.190927085,32661604,31390499
178.192980495,30917250,33841541
180.19546301,31612205,35099069
182.197506264,27135854,39718274
184.199931735,27578726,40322819
186.202301148,28542125,41464755
188.204460799,28405212,41868110
190.206914502,29176261,42581203
192.207909535,35984150,37562566
194.210392821,36411140,37843021
196.212457337,35761069,40844716
198.214918639,31909556,45562396
200.216984934,32575802,46549547
202.219454579,33195482,47754204
204.221511783,34212658,47967889
206.228343557,35971009,49970234
208.230602115,44248881,44089474
210.232984636,43039138,44025427
212.235468044,48599834,40433263
214.23751515,52148394,37061467
216.2399328,53090695,37993953
218.242389817,53902993,38850474
220.244456755,54653011,38733208
222.246916853,61673848,31932714
224.248984478,62919369,31112888
226.251462194,63738562,31533749
228.25351059,66122340,27887983
230.255933325,66715191,26062603
232.258406697,67355233,27682122
234.260459897,67472010,27661153
236.262939366,69146584,27793540
238.264991522,69523187,33344477
240.267465685,69168293,36333923
242.269939269,70254994,37233134
244.271912761,65775843,45454843
246.27414831,66256451,46086841
248.275911,64018432,50212605
250.278163873,58975244,56370639
252.279910218,59996837,56620055
254.282153703,46323722,71147092
256.283911834,43066430,74586357
258.286146391,42752322,76435987
260.287910748,35768418,80217428
262.290195785,36270527,80868727
264.291910964,38091010,81511214
266.294151072,38619375,81557556
268.295910816,39539320,82492443
270.298143835,48183622,80993633
272.299911971,48591523,81890305
274.302157956,49334302,83350095
276.303912716,49588802,83447219
278.306159825,50789686,83445511
280.307909828,50883040,83765872
282.310157439,52307695,84309288
284.311912572,51812749,85873283
286.314157546,43652950,90180053
288.315913594,44282004,90873373
290.318164553,51539463,90573695
292.319912013,54772868,90230444
294.322198548,56181226,90440112
296.323913005,66396433,83581730
298.326156603,66779412,83588233
