Time,Remote DRAM Accesses,Local DRAM Accesses
2.002072392,26070,86726
4.004304212,3144,118676
6.006462198,2677,120341
8.008614999,2891,124301
10.010774365,3118,129310
12.012932343,2844,128402
14.015091577,3057,129472
16.017261396,2704,129639
18.019405719,2563,128515
20.021570986,3163,126741
22.02376703,2813,129573
24.025927527,3322,136753
26.028089357,3042,133778
28.030248824,2842,134302
30.032408622,3411,135407
32.034568568,2856,133820
34.036767679,3049,134721
36.038943253,2754,135182
38.041107883,2910,134720
40.043276936,3179,133019
42.045446687,2873,124739
44.047606864,3121,123773
46.049779046,2902,121808
48.051942389,3065,121883
50.054114634,3268,122331
52.056285771,2663,122157
54.058453437,2804,122072
56.060615391,3295,123085
58.062787035,2904,121702
60.064951731,2987,122312
62.067124611,2813,121836
64.069287337,3052,120923
66.071458204,3328,121513
68.073670593,2820,120381
70.075835661,5894,147578
72.078006648,2871,119717
74.080171277,2862,113890
76.082341528,3461,110554
78.084514699,2668,109400
80.086676497,3485,110104
82.088847709,2936,110365
84.091013324,2950,110048
86.093184444,3185,111387
88.095358103,3040,109891
90.097522216,3181,109379
92.099697562,3401,110441
94.101860777,3365,110135
96.10402193,3608,110923
98.10618724,2474,85996
100.108345083,24055780,29381897
102.109604773,6519660,16936740
104.111828583,6267785,17140260
106.113603462,6164943,17857946
108.115830143,5060827,17972662
110.117608988,5211330,18396854
112.119836028,5457190,19460666
114.121603724,5554773,19628744
116.123826368,6087803,20392837
118.125605659,7652836,20963275
120.127841855,7763695,21368966
122.129603068,10784172,20647874
124.131825028,13176298,19052544
126.133603936,13431008,19846596
128.135832329,11364616,23599927
130.137605462,11319601,24272965
132.139878864,11997385,25245629
134.141606376,12406804,25275092
136.143828141,12857013,25993435
138.14560553,13364100,27094015
140.147834051,13620015,27401507
142.149604983,14171032,28569163
144.151829622,14184684,29506732
146.153605928,14870009,30454484
148.155824823,15763291,31601339
150.157607555,16038297,32220391
152.159833103,17650211,32086574
154.16160683,21052422,30542599
156.163832682,21339268,30628328
158.165604693,22171694,31798315
160.167833051,25891071,29183897
162.170147797,28193817,27991696
164.172720709,26445896,31789468
166.175202226,25793988,33439563
168.177628394,25789034,35474247
170.180076537,22598008,38875573
172.182147037,22836374,40290431
174.184606048,26362127,39325413
176.186678329,29360010,37034745
178.189131518,30099323,37785888
180.19119562,34188576,36119966
182.193626006,34805701,36578634
184.196090561,43486487,32615853
186.197608543,46364557,27422712
188.200096014,47036147,27859239
190.201607757,43500686,37429695
192.204080583,40432569,40657795
194.206146778,40369411,41170348
196.208652598,31702058,53808680
198.20960714,31664394,52723284
200.21207701,33160556,55087120
202.213605578,32566943,55155366
204.215840279,33546445,56140744
206.217609508,35555761,55414655
208.219852807,35734614,56296339
210.221606717,36470204,58508873
212.223854692,36601695,59366868
214.22560809,37218474,59860385
216.227848868,37649609,62181813
218.229607845,37840022,63344679
220.231853049,39837558,63564916
222.233604571,45288433,58786588
224.235850652,46063472,59617844
226.23760633,49243444,58763317
228.239849227,52819903,55667730
230.241604376,54088158,56860026
232.243840925,61595087,50620691
234.245606261,62578816,50598305
236.247850152,65160750,51616501
238.249614664,63021486,53105978
240.251850956,63535141,53627328
242.253603893,64339738,55777744
244.25585007,65226180,54826174
246.257605885,67337603,55544097
248.259846317,72010995,50775945
250.261605414,70699211,52839389
252.263850299,66499697,61670041
254.265607916,64522875,64694473
256.267850132,68509925,66781959
258.269605421,66434723,66591479
260.271843656,68290788,68279634
262.274150846,68363186,69413269
264.276629571,69659181,69771149
266.278676855,71061618,70076524
268.281233376,76149423,64936714
270.283341626,75750903,65787924
272.285601316,80517447,63348489
274.288198711,82932200,58059329
276.290676855,84226059,59179872
278.293158089,78275306,68058626
280.295208224,74845110,74070671
282.297630422,76394681,76690875
284.300108927,81068428,70446900
286.302152493,81101034,70663984
288.304646444,83455155,70438584
290.306681392,86520339,65799699
292.30915907,87841888,66442326
294.311214319,88874579,63198901
296.313633988,88571116,61083672
298.316109834,88462269,63314777
300.3181556,89891808,69543713
302.320637636,89992292,70598856
304.322684601,90067413,71762853
306.32518341,90702953,71947201
308.32720845,91746511,73172751
310.329634862,91594264,74327875
312.332121544,92466478,75002951
314.334160445,93944253,72507832
316.336644294,94620893,68169271
318.338686218,95313850,68777839
320.341185145,94392133,81140752
322.343213994,94615302,83437169
324.345629957,95097320,84532289
326.348163641,96159342,85803992
328.350669598,97001602,86073345
330.353166373,91614736,94108095
332.355206302,88356708,98609290
334.357627468,88906895,99637973
336.360098467,88969194,101350119
