Time,Remote DRAM Accesses,Local DRAM Accesses
2.002050306,44498,147159
4.004216333,20849,179061
6.00634868,21406,169582
8.008485312,27340,175436
10.010625407,21772,172343
12.012773952,22473,180044
14.014953177,26578,183608
16.01714675,19422,176923
18.019321243,101076,273123
20.02149084,22037,178169
22.023666128,22764,173845
24.025846106,25871,186394
26.028034238,18550,178416
28.030190193,22851,191101
30.032330187,23422,188226
32.034513887,20218,184886
34.036735408,21789,191212
36.038918288,22052,185783
38.041110672,24722,187084
40.043241019,20233,189526
42.045415808,21875,183740
44.047574809,21036,184171
46.049748579,18361,178288
48.051923568,19951,173976
50.054094933,20253,183024
52.056272622,18404,170958
54.058443572,21969,177733
56.060623519,16863,170225
58.062805776,19572,171080
60.064975954,21775,180084
62.06713267,21067,171706
64.069293781,25296,184658
66.071432893,17336,167854
68.073650933,18024,167825
70.075815476,24714,181226
72.077987988,18796,168448
74.080166871,20669,172491
76.082317943,25272,174428
78.08447378,23075,169875
80.086642134,21420,177575
82.088796758,20738,167913
84.090937297,17547,165181
86.093095847,22237,172023
88.0952297,19766,160255
90.097368879,21487,171935
92.099508022,20914,163813
94.101643431,22246,163461
96.1037859,25859,176384
98.105944918,21242,164711
100.108115871,22893,171662
102.110275045,19180,162088
104.11243943,21699,163027
106.114594925,23849,170961
108.116764637,19389,164399
110.118910265,24966,172485
112.121045444,21937,165045
114.122977685,28670110,2488211
116.125200095,1310675,2833205
118.126977924,1095162,2267352
120.129189346,1086580,2311253
122.130979412,1197221,2845517
124.133199711,1122600,2442656
126.134978573,1248090,3005408
128.13719392,1149613,2498112
130.138978453,1160993,2574881
132.141234803,1281959,3241462
134.142977911,1249656,2888591
136.145195146,1379638,3498415
138.146980543,1388884,3355432
140.149192666,1447303,3559144
142.150979815,1609920,4399595
144.153201532,1616945,4206990
146.154976572,1606112,4188165
148.157193302,1647804,4523127
150.15897859,1497058,3732346
152.161199593,1587333,4221224
154.162983072,1514987,3651078
156.165201054,1467246,3459727
158.166976688,1617553,4113263
160.169192826,1500536,3505996
162.170980581,1676950,4290483
164.173233666,1565830,3652453
166.174978822,1579017,3699635
168.177190644,1762376,4521171
170.178979767,1676629,3883167
172.181199752,1746132,4267109
174.182979329,1785658,4439924
176.185421403,1741440,4093404
178.187520653,1903431,4826453
180.189884458,1813626,4298450
182.192038793,1853132,4448574
184.194448071,2010394,5198968
186.196564998,1894366,4534912
188.198998491,2068625,5302019
190.201429352,1973921,4739072
192.203520178,2005937,4825652
194.205942059,2200419,5541254
196.20804192,2095831,4981183
198.210476155,2209762,5447506
200.210977371,2258690,5476916
202.213199015,2237479,5250979
204.214978047,2445986,6038715
206.217425785,2431481,5706934
208.218999228,2438444,5558131
210.22143345,2653713,6327371
212.223515916,2585556,5752630
214.225956506,2778055,6557216
216.228044288,2685805,5950597
218.230488735,2755609,6023931
220.23256355,2997625,6910825
222.234997652,2852514,6322526
224.237429573,3094536,7120411
226.239522202,3028032,6632712
228.241954745,3003393,6543695
230.244044661,3264260,7367267
232.246486081,3169230,6784351
234.24856418,3244869,6939304
236.250993695,3528051,7819855
238.253437976,3377534,7135655
240.255519183,3686781,8113903
242.257925458,3652431,7701810
244.260042353,3698626,7712989
246.262477332,3898533,8352059
248.264569438,3884564,7770926
250.267003709,4202982,8685055
252.26944007,4098670,8057977
254.271520369,4179870,8124499
256.273962455,4449100,8994108
258.276040213,4353399,8300468
260.278474254,4560738,8600936
262.280694503,4731190,9028960
264.283001081,4679228,8671659
266.28544069,5022230,9530784
268.287526952,4897286,8906131
270.289966253,5020656,9058608
272.29204288,5403018,9985092
274.294490742,5280514,9276932
276.296641001,5684064,10178358
278.29900251,5635950,9587549
280.301454712,5721769,9743932
282.303523307,6106451,10580645
284.305978435,5978339,9939831
286.308043894,6228976,10444053
288.310468943,6290863,10518481
290.312565168,6289929,10326478
292.315003922,8100023,12266131
294.31747833,6682402,10580405
296.31952394,6855305,10660142
298.321967309,7341132,11515417
300.324043715,7252145,10968468
302.326478703,7725309,11833800
304.328564331,7603910,11249565
306.33099983,7727783,11335313
308.333445266,8232271,12136472
310.335519089,8173530,11647443
312.337956242,8528290,12197187
314.340049992,8695628,12070061
316.342498718,8795974,11981369
318.345048497,9263531,12781020
320.347513392,9220026,12383627
322.350312688,9370407,12412472
324.352573167,9928536,13294201
326.355000849,9791061,12743074
328.357451168,10316172,13425923
330.359522256,10312710,12917089
332.361963686,10583268,13106899
334.364054077,11195507,13852721
336.366494037,11158667,13360467
338.368568592,11700540,14078982
340.371001447,11606772,13741910
342.373453018,11834656,13779249
344.375525216,12465029,14511558
346.377971872,12498097,14000690
348.380032515,12792170,14139973
350.382263868,13388014,14813797
352.384570891,13416443,14332330
354.386998993,14217957,15117421
356.389481722,14080431,14592500
358.391523472,14461497,14685345
360.394100714,15251306,15459341
362.396562333,15249724,15078894
364.398985038,15981776,15648428
366.401207203,15900864,15212211
368.402981517,16185382,15324505
370.405213791,16944111,16100560
372.407524772,16815479,15574715
374.409971411,17440668,15926505
376.412049945,17996477,16204211
378.414480807,18068256,15943857
380.416566156,19017773,16717253
382.4189969,18942018,16235174
384.421419494,19360587,16362902
386.423524544,20392895,16965314
388.42595359,20324622,16748030
390.426977447,21219077,17318500
392.429473067,21106106,16871701
394.43152419,21558456,16994103
396.433954911,22496424,17675041
398.436050868,22334153,17183744
400.438445165,23057074,17623130
402.440575276,23561638,17659789
404.442999547,23733135,17546247
406.445410598,24869688,18199650
408.446980112,24582214,17726351
410.449215493,25072783,17857817
412.450981402,26299969,18554996
414.453209379,26116261,18091456
416.45498125,27095063,18722955
418.457204886,27081504,18319657
420.458981074,27598617,18437277
422.461213316,28672149,18997919
424.462979946,28573817,18649718
426.465213337,29634192,19019444
428.466979779,30056837,19109783
430.469215008,30356424,19080028
432.470979628,31493669,19579426
434.473210861,31385944,19284933
436.474980138,31990832,19346103
438.477207509,33331174,19940662
440.478978645,33383258,19678556
442.481212247,34470743,20106097
444.482980689,34323820,19830370
446.485208869,34807816,19913219
448.486979465,36290388,20402759
450.489207607,36218590,20182509
452.490978501,37107782,20436153
454.493181276,37918332,20546170
456.494979025,38038521,20420311
458.497211068,39491245,20983198
460.498979533,39278986,20740347
462.501214415,39970546,20772681
464.5029788,41517683,21217219
466.505199844,41151583,20933647
468.506980659,42829261,21448264
470.509207694,42513620,21136042
472.51098122,43074055,21216781
474.513213663,44932102,21676771
476.514979316,44467283,21400392
478.517213415,45723839,21721351
480.518982302,46480545,21839630
482.521221056,46741651,21682568
484.522980743,48568549,22165994
486.525489987,48137131,21908348
488.5280392,48817480,22008384
490.530536793,50796162,22475238
492.533011586,50453586,22231474
494.534981919,51951409,22461890
496.537213905,51952626,22375292
498.5389793,52648055,22476532
500.541214463,54309258,22889894
502.542982305,53924354,22662203
504.545216469,55059137,22997430
506.546980345,56438760,23107676
508.549217571,56203799,23034863
510.55098084,58081089,23336372
512.553221465,57952889,23210397
514.554981822,58760579,23278544
