Time,Remote DRAM Accesses,Local DRAM Accesses
2.002107607,28715,121273
4.004363978,3130,120239
6.006567658,2920,119482
8.008702134,3050,123059
10.010864855,2940,129698
12.013031303,2942,129025
14.015196052,3056,130289
16.017375866,2761,130285
18.019547642,3072,130417
20.021722958,2852,128084
22.023922049,2952,127474
24.026090935,3231,137110
26.028290061,2906,135026
28.030461226,2893,135379
30.032637071,3024,135545
32.034827732,2513,135521
34.037065382,3087,137276
36.039260436,4412,133851
38.041402641,2884,135109
40.043609519,3243,135684
42.045803318,2911,125535
44.04798874,3102,125404
46.050185823,2796,122201
48.052366816,2973,121679
50.054562679,3020,123771
52.056725115,3217,120252
54.058935151,3510,123555
56.061116737,2884,123126
58.063324904,2918,122322
60.065493013,3618,123215
62.067680969,3166,122287
64.069826896,3189,121811
66.072008234,3235,121906
68.074234034,3233,121697
70.076403115,3633,123029
72.078587057,3245,120472
74.080788239,2993,114294
76.08299291,3583,112255
78.0851933,3346,110665
80.087352398,3491,111577
82.089517723,3056,111678
84.091681642,3305,111978
86.093868704,4500,115711
88.096042225,3181,112345
90.098253231,4661,116738
92.10043241,3198,111917
94.102642488,5259,116042
96.104807545,3707,111688
98.106961687,25920412,1574318
100.108842807,1220136,2335963
102.11105449,830180,2137835
104.112841776,1187001,4488294
106.115052537,1069609,3726071
108.116845073,942692,2855478
110.119064865,833694,2088328
112.120842305,921392,2610032
114.123051828,1094812,3698388
116.124843134,1080268,3379253
118.127059179,885709,2254444
120.128841874,887938,2211037
122.131055354,1006482,2798186
124.132841222,918133,2338825
126.135062382,1048881,2949971
128.137386009,972123,2475335
130.139822116,984846,2509258
132.141906673,1101396,3057148
134.144403482,1039243,2667113
136.146869267,1110058,3031763
138.148841302,1581241,5864393
140.151047908,1096153,2875012
142.152844006,1281097,3688740
144.155062353,1326538,3817752
146.156841679,1230706,3323149
148.159058177,1447871,4298570
150.160842127,1494991,4439969
152.163052863,1556292,4658365
154.164842549,1421763,3901417
156.167056827,1675074,4960878
158.168841909,1520794,4245384
160.171065577,1402021,3638921
162.172844649,1481009,3938741
164.175084471,1556655,4151718
166.176842737,1551718,3945844
168.179057199,1722430,4566923
170.180841575,1624284,4050266
172.183050533,1656565,4115000
174.184841429,1849721,4839142
176.187051954,1743273,4313337
178.188843154,1940606,4993582
180.191059665,1844974,4464252
182.192841959,1916770,4566751
184.195060243,2202958,5370784
186.19684162,2108675,4834426
188.199053931,2280016,5313646
190.200841479,2294614,5262935
192.20304428,2677704,6402012
194.204842264,2639770,6142868
196.207103587,2491301,5335614
198.208842538,2630097,5608512
200.211278786,2831916,6200920
202.213385545,2749660,5762904
204.21580266,3051512,6471486
206.217912422,2940671,5889221
208.220334377,2986686,5998315
210.222430554,3371520,6817604
212.22484528,3228943,6261631
214.227071497,3517721,6909832
216.229384134,3478242,6641257
218.231803535,3542454,6612020
220.233902463,4128391,8138901
222.236272671,4026263,7669542
224.238430914,3931469,7162813
226.240862324,4328155,8017007
228.243269596,4149304,7311932
230.245390014,4598759,8231179
232.247815779,4435194,7595668
234.249910851,4529912,7677502
236.252335125,4965149,8502399
238.254432764,4846913,7949960
240.256857377,5264623,8802060
242.259274486,5068993,8256290
244.261386908,5208030,8377691
246.263799504,5663931,9233733
248.265903075,6041837,9944426
250.268295969,5842768,9255102
252.270416893,6057837,9489791
254.272641349,6020147,9264540
256.275174827,6485556,10109254
258.276842165,6241660,9410760
260.279455276,6407752,9541410
262.280843872,6942967,10409416
264.283065084,6807584,9897119
266.284843347,7312070,10774476
268.287065786,7112790,10145067
270.28884389,7620488,10923074
272.291056826,8188193,11758254
274.292843165,7794763,10700443
276.29506684,8258241,11336013
278.29684438,8406749,11398009
280.299066991,8416028,11151599
282.300843528,8972301,12026471
284.303068792,8794471,11470023
286.304841826,9061807,11641772
288.307082542,9788257,12627103
290.309387634,9651911,12078830
292.311930161,10206207,12799730
294.314431656,10115876,12407135
296.316866878,10326399,12502833
298.319397005,10964981,13304545
300.320844417,10854953,12826409
302.323068368,11385583,13419640
304.32538568,11585472,13468428
306.327823523,12233578,14187729
308.330178084,12600363,14560259
310.332432509,12398638,13941035
312.334980571,12653020,14080543
314.336844263,13318393,14859858
316.339072763,13240925,14428916
318.34084254,13887305,15147135
