Date, Time, DS_name, num_DS, num_threads, thread_config, DS_config, duration, crossover, TotalOps
2025-03-08, 16:40:27, ll, 128, 1, numa, numa, 20, 0, 43313
2025-03-08, 18:49:44, ll, 128, 1, numa, regular, 20, 0, 47469
2025-03-08, 20:46:28, ll, 128, 1, regular, numa, 20, 0, 44600
2025-03-08, 22:55:03, ll, 128, 1, regular, regular, 20, 0, 47313
2025-03-09, 00:51:45, ll, 1024, 1, numa, numa, 20, 0, 41473
2025-03-09, 16:47:49, ll, 1024, 1, numa, regular, 20, 0,41868
2025-03-10, 06:16:31, ll, 1024, 1, regular, numa, 20, 0, 47255
2025-03-10, 21:07:46, ll, 1024, 1, regular, regular, 20, 0, 45767
















Date, Time, DS_name, num_DS, num_threads, thread_config, DS_config, duration, crossover, TotalOps
Date, Time, DS_name, num_DS, num_threads, thread_config, DS_config, duration, crossover, TotalOps
Date, Time, DS_name, num_DS, num_threads, thread_config, DS_config, duration, crossover, TotalOps
Date, Time, DS_name, num_DS, num_threads, thread_config, DS_config, duration, crossover, TotalOps
Date, Time, DS_name, num_DS, num_threads, thread_config, DS_config, duration, crossover, TotalOps
Date, Time, DS_name, num_DS, num_threads, thread_config, DS_config, duration, crossover, TotalOps
Date, Time, DS_name, num_DS, num_threads, thread_config, DS_config, duration, crossover, TotalOps
2025-03-11, 17:28:19, ll, 128, 1, numa, numa, 20, 0, LL is initialized
81094
2025-03-11, 18:15:18, ll, 128, 1, numa, regular, 20, 0, LL is initialized
82951
2025-03-11, 19:02:16, ll, 128, 1, regular, numa, 20, 0, LL is initialized
91087
2025-03-11, 19:49:15, ll, 128, 1, regular, regular, 20, 0, LL is initialized
90584








