BST Results
Date, Time, DS_name, num_DS, num_threads, thread_config, DS_config, duration, crossover,keyspace, Op0, Op1, TotalOps
2025-01-11, 04:41:50, bst, 128, 20, numa, numa, 20, 0, 90000, 1499332, 1434333, 2933665
2025-01-11, 04:43:51, bst, 128, 20, numa, numa, 20, 20, 90000, 1506013, 1439971, 2945984
2025-01-11, 04:45:51, bst, 128, 20, numa, regular, 20, 0, 90000, 1498116, 1464231, 2962347
2025-01-11, 04:47:50, bst, 128, 20, numa, regular, 20, 20, 90000, 1486055, 1455155, 2941210
2025-01-11, 04:49:50, bst, 128, 20, regular, numa, 20, 0, 90000, 1285430, 1275299, 2560729
2025-01-11, 04:51:51, bst, 128, 20, regular, numa, 20, 20, 90000, 1249796, 1213705, 2463501
2025-01-11, 04:53:52, bst, 128, 20, regular, regular, 20, 0, 90000, 1179555, 1187870, 2367425
2025-01-11, 04:55:51, bst, 128, 20, regular, regular, 20, 20, 90000, 1271085, 1273882, 2544967
2025-01-11, 04:57:50, bst, 128, 20, split, numa, 20, 0, 90000, 1235958, 1217581, 2453539
2025-01-11, 04:59:51, bst, 128, 20, split, numa, 20, 20, 90000, 1244492, 1211496, 2455988
2025-01-11, 05:01:52, bst, 128, 20, split, regular, 20, 0, 90000, 1195096, 1214905, 2410001
2025-01-11, 05:03:51, bst, 128, 20, split, regular, 20, 20, 90000, 1204610, 1191353, 2395963
2025-01-11, 05:05:50, bst, 128, 40, numa, numa, 20, 0, 90000, 1730869, 1728666, 3459535
2025-01-11, 05:07:51, bst, 128, 40, numa, numa, 20, 20, 90000, 1734213, 1720814, 3455027
2025-01-11, 05:09:52, bst, 128, 40, numa, regular, 20, 0, 90000, 1705006, 1761456, 3466462
2025-01-11, 05:11:51, bst, 128, 40, numa, regular, 20, 20, 90000, 1724238, 1723555, 3447793
2025-01-11, 05:13:51, bst, 128, 40, regular, numa, 20, 0, 90000, 1571363, 1568614, 3139977
2025-01-11, 05:15:51, bst, 128, 40, regular, numa, 20, 20, 90000, 1638705, 1598158, 3236863
2025-01-11, 05:17:52, bst, 128, 40, regular, regular, 20, 0, 90000, 1470594, 1496943, 2967537
2025-01-11, 05:19:51, bst, 128, 40, regular, regular, 20, 20, 90000, 1487345, 1510032, 2997377
2025-01-11, 05:21:50, bst, 128, 40, split, numa, 20, 0, 90000, 1577990, 1565756, 3143746
2025-01-11, 05:23:51, bst, 128, 40, split, numa, 20, 20, 90000, 1593678, 1573722, 3167400
2025-01-11, 05:25:51, bst, 128, 40, split, regular, 20, 0, 90000, 1483101, 1504731, 2987832
2025-01-11, 05:27:51, bst, 128, 40, split, regular, 20, 20, 90000, 1565928, 1575532, 3141460
2025-01-11, 05:29:51, bst, 1024, 20, numa, numa, 20, 0, 90000, 1455440, 1392950, 2848390
2025-01-11, 05:43:32, bst, 1024, 20, numa, numa, 20, 20, 90000, 1445197, 1380953, 2826150
2025-01-11, 05:57:14, bst, 1024, 20, numa, regular, 20, 0, 90000, 1483948, 1397966, 2881914
2025-01-11, 06:10:46, bst, 1024, 20, numa, regular, 20, 20, 90000, 1497446, 1388200, 2885646
























































BST Results
Date, Time, DS_name, num_DS, num_threads, thread_config, DS_config, duration, crossover,keyspace, Op0, Op1, TotalOps
2025-01-13, 05:15:39, bst, 128, 20, numa, numa, 20, 0, 90000, 1495779, 1440843, 2936622
2025-01-13, 05:17:39, bst, 128, 20, numa, numa, 20, 20, 90000, 1513609, 1444978, 2958587
2025-01-13, 05:19:40, bst, 128, 20, numa, regular, 20, 0, 90000, 1494685, 1462196, 2956881
2025-01-13, 05:21:39, bst, 128, 20, numa, regular, 20, 20, 90000, 1489575, 1453303, 2942878
2025-01-13, 05:23:38, bst, 128, 20, regular, numa, 20, 0, 90000, 1245486, 1211583, 2457069
2025-01-13, 05:25:39, bst, 128, 20, regular, numa, 20, 20, 90000, 1246913, 1206249, 2453162
2025-01-13, 05:27:40, bst, 128, 20, regular, regular, 20, 0, 90000, 1204541, 1206250, 2410791
2025-01-13, 05:29:39, bst, 128, 20, regular, regular, 20, 20, 90000, 1198495, 1208061, 2406556
2025-01-13, 05:31:38, bst, 128, 20, split, numa, 20, 0, 90000, 1283265, 1212359, 2495624
2025-01-13, 05:33:39, bst, 128, 20, split, numa, 20, 20, 90000, 1273378, 1207566, 2480944
2025-01-13, 05:35:40, bst, 128, 20, split, regular, 20, 0, 90000, 1212570, 1227846, 2440416
2025-01-13, 05:37:39, bst, 128, 20, split, regular, 20, 20, 90000, 1239761, 1200888, 2440649
2025-01-13, 05:39:38, bst, 128, 40, numa, numa, 20, 0, 90000, 1719700, 1738874, 3458574
2025-01-13, 05:41:39, bst, 128, 40, numa, numa, 20, 20, 90000, 1709966, 1727231, 3437197
2025-01-13, 05:43:39, bst, 128, 40, numa, regular, 20, 0, 90000, 1751190, 1745588, 3496778
2025-01-13, 05:45:39, bst, 128, 40, numa, regular, 20, 20, 90000, 1730418, 1712395, 3442813
2025-01-13, 05:47:38, bst, 128, 40, regular, numa, 20, 0, 90000, 1590664, 1570466, 3161130
2025-01-13, 05:49:39, bst, 128, 40, regular, numa, 20, 20, 90000, 1585402, 1572051, 3157453
2025-01-13, 05:51:39, bst, 128, 40, regular, regular, 20, 0, 90000, 1470715, 1489375, 2960090
2025-01-13, 05:53:38, bst, 128, 40, regular, regular, 20, 20, 90000, 1511433, 1552826, 3064259
2025-01-13, 05:55:38, bst, 128, 40, split, numa, 20, 0, 90000, 1592083, 1579857, 3171940
2025-01-13, 05:57:39, bst, 128, 40, split, numa, 20, 20, 90000, 1572305, 1558260, 3130565
2025-01-13, 05:59:39, bst, 128, 40, split, regular, 20, 0, 90000, 1543227, 1560534, 3103761
2025-01-13, 06:01:39, bst, 128, 40, split, regular, 20, 20, 90000, 1553041, 1552704, 3105745
2025-01-13, 06:03:38, bst, 1024, 20, numa, numa, 20, 0, 90000, 1449463, 1381060, 2830523
2025-01-13, 06:17:19, bst, 1024, 20, numa, numa, 20, 20, 90000, 1444536, 1365748, 2810284
2025-01-13, 06:31:00, bst, 1024, 20, numa, regular, 20, 0, 90000, 1419841, 1379953, 2799794
2025-01-13, 06:44:31, bst, 1024, 20, numa, regular, 20, 20, 90000, 1477708, 1379625, 2857333
2025-01-13, 06:58:02, bst, 1024, 20, regular, numa, 20, 0, 90000, 1239444, 1259860, 2499304
2025-01-13, 07:11:44, bst, 1024, 20, regular, numa, 20, 20, 90000, 1242695, 1260728, 2503423
2025-01-13, 07:25:24, bst, 1024, 20, regular, regular, 20, 0, 90000, 1215560, 1271795, 2487355
2025-01-13, 07:38:56, bst, 1024, 20, regular, regular, 20, 20, 90000, 1201714, 1267023, 2468737
2025-01-13, 07:52:27, bst, 1024, 20, split, numa, 20, 0, 90000, 1275783, 1253997, 2529780
2025-01-13, 08:06:07, bst, 1024, 20, split, numa, 20, 20, 90000, 1267647, 1241188, 2508835
2025-01-13, 08:19:48, bst, 1024, 20, split, regular, 20, 0, 90000, 1246155, 1236597, 2482752
2025-01-13, 08:33:19, bst, 1024, 20, split, regular, 20, 20, 90000, 1254676, 1196660, 2451336
2025-01-13, 08:46:50, bst, 1024, 40, numa, numa, 20, 0, 90000, 2068732, 2098517, 4167249
2025-01-13, 09:00:32, bst, 1024, 40, numa, numa, 20, 20, 90000, 2093517, 2136864, 4230381
2025-01-13, 09:14:13, bst, 1024, 40, numa, regular, 20, 0, 90000, 2121681, 2127948, 4249629
2025-01-13, 09:27:44, bst, 1024, 40, numa, regular, 20, 20, 90000, 2100465, 2090040, 4190505
2025-01-13, 09:41:15, bst, 1024, 40, regular, numa, 20, 0, 90000, 1551722, 1560402, 3112124
2025-01-13, 09:54:56, bst, 1024, 40, regular, numa, 20, 20, 90000, 1685840, 1675119, 3360959
2025-01-13, 10:08:36, bst, 1024, 40, regular, regular, 20, 0, 90000, 1530368, 1564207, 3094575
2025-01-13, 10:22:07, bst, 1024, 40, regular, regular, 20, 20, 90000, 1457997, 1556599, 3014596
2025-01-13, 10:35:38, bst, 1024, 40, split, numa, 20, 0, 90000, 1764655, 1795435, 3560090
2025-01-13, 10:49:18, bst, 1024, 40, split, numa, 20, 20, 90000, 1770550, 1777182, 3547732
2025-01-13, 11:02:59, bst, 1024, 40, split, regular, 20, 0, 90000, 1381631, 1295805, 2677436
2025-01-13, 11:16:31, bst, 1024, 40, split, regular, 20, 20, 90000, 1770309, 1724119, 3494428
































































































BST Results
Date, Time, DS_name, num_DS, num_threads, thread_config, DS_config, duration, crossover,keyspace, Op0, Op1, TotalOps
2025-01-13, 14:32:25, bst, 128, 20, numa, numa, 20, 0, 90000, 1488157, 1446698, 2934855
2025-01-13, 14:34:26, bst, 128, 20, numa, numa, 20, 20, 90000, 1503522, 1448677, 2952199
2025-01-13, 14:36:26, bst, 128, 20, numa, numa, 20, 100, 90000, 1410092, 1354642, 2764734
2025-01-13, 14:38:26, bst, 128, 20, numa, regular, 20, 0, 90000, 1494813, 1474113, 2968926
2025-01-13, 14:40:25, bst, 128, 20, numa, regular, 20, 20, 90000, 1489003, 1508265, 2997268
2025-01-13, 14:42:24, bst, 128, 20, numa, regular, 20, 100, 90000, 1368587, 1349482, 2718069
2025-01-13, 14:44:23, bst, 128, 20, regular, numa, 20, 0, 90000, 1311285, 1253088, 2564373
2025-01-13, 14:46:24, bst, 128, 20, regular, numa, 20, 20, 90000, 1216717, 1229063, 2445780
2025-01-13, 14:48:24, bst, 128, 20, regular, numa, 20, 100, 90000, 1257666, 1216718, 2474384
2025-01-13, 14:50:25, bst, 128, 20, regular, regular, 20, 0, 90000, 1224131, 1239819, 2463950
2025-01-13, 14:52:24, bst, 128, 20, regular, regular, 20, 20, 90000, 1179480, 1208710, 2388190
2025-01-13, 14:54:23, bst, 128, 20, regular, regular, 20, 100, 90000, 1208214, 1231478, 2439692
2025-01-13, 14:56:22, bst, 128, 20, split, numa, 20, 0, 90000, 1234278, 1226016, 2460294
2025-01-13, 14:58:23, bst, 128, 20, split, numa, 20, 20, 90000, 1244251, 1213349, 2457600
2025-01-13, 15:00:23, bst, 128, 20, split, numa, 20, 100, 90000, 1242051, 1215500, 2457551
2025-01-13, 15:02:24, bst, 128, 20, split, regular, 20, 0, 90000, 1215567, 1207896, 2423463
2025-01-13, 15:04:23, bst, 128, 20, split, regular, 20, 20, 90000, 1218747, 1215603, 2434350
