BST Results
Date, Time, DS_name, num_DS, num_threads, thread_config, DS_config, duration, crossover,keyspace, Op0, Op1, TotalOps
2025-01-31, 05:17:33, bst, 128, 20, numa, numa, 20, 0, 1600000, 44938316, 44764198, 89702514
2025-01-31, 05:18:43, bst, 128, 20, numa, numa, 20, 20, 1600000, 42026961, 42457627, 84484588
2025-01-31, 05:19:59, bst, 128, 20, numa, numa, 20, 100, 1600000, 37684125, 38554276, 76238401
2025-01-31, 05:21:15, bst, 128, 20, numa, regular, 20, 0, 1600000, 24381812, 22595990, 46977802
2025-01-31, 05:22:19, bst, 128, 20, numa, regular, 20, 20, 1600000, 20689284, 32763125, 53452409
2025-01-31, 05:23:27, bst, 128, 20, numa, regular, 20, 100, 1600000, 18810894, 34421903, 53232797
2025-01-31, 05:24:35, bst, 128, 20, regular, numa, 20, 0, 1600000, 36239612, 36200423, 72440035
2025-01-31, 05:25:51, bst, 128, 20, regular, numa, 20, 20, 1600000, 33752904, 36633341, 70386245
2025-01-31, 05:27:06, bst, 128, 20, regular, numa, 20, 100, 1600000, 33525492, 36838779, 70364271
2025-01-31, 05:28:22, bst, 128, 20, regular, regular, 20, 0, 1600000, 21991576, 21494013, 43485589
2025-01-31, 05:29:30, bst, 128, 20, regular, regular, 20, 20, 1600000, 18956488, 19974899, 38931387
2025-01-31, 05:30:38, bst, 128, 20, regular, regular, 20, 100, 1600000, 18582470, 18621495, 37203965
2025-01-31, 05:31:46, bst, 128, 20, split, numa, 20, 0, 1600000, 35416099, 36731067, 72147166
2025-01-31, 05:33:02, bst, 128, 20, split, numa, 20, 20, 1600000, 35247640, 37123236, 72370876
2025-01-31, 05:34:18, bst, 128, 20, split, numa, 20, 100, 1600000, 34725122, 36193013, 70918135
2025-01-31, 05:35:33, bst, 128, 20, split, regular, 20, 0, 1600000, 19331546, 20124188, 39455734
2025-01-31, 05:36:41, bst, 128, 20, split, regular, 20, 20, 1600000, 23304190, 23383885, 46688075
2025-01-31, 05:37:46, bst, 128, 20, split, regular, 20, 100, 1600000, 19008843, 18909616, 37918459
2025-01-31, 05:38:54, bst, 128, 40, numa, numa, 20, 0, 1600000, 42477384, 43906475, 86383859
2025-01-31, 05:40:04, bst, 128, 40, numa, numa, 20, 20, 1600000, 38929729, 39763805, 78693534
2025-01-31, 05:41:19, bst, 128, 40, numa, numa, 20, 100, 1600000, 35087935, 35832366, 70920301
