BST Results
Date, Time, DS_name, num_DS, num_threads, thread_config, DS_config, duration, crossover,keyspace, Op0, Op1, TotalOps
2025-01-31, 22:24:59, bst, 128, 20, numa, numa, 20, 0, 1600000, 47911924, 45686173, 93598097
2025-01-31, 22:25:32, bst, 128, 20, numa, numa, 20, 20, 1600000, 46047643, 45536636, 91584279
2025-01-31, 22:26:04, bst, 128, 20, numa, numa, 20, 100, 1600000, 41370446, 41167598, 82538044
2025-01-31, 22:26:36, bst, 128, 20, numa, regular, 20, 0, 1600000, 46937519, 46613525, 93551044
2025-01-31, 22:27:08, bst, 128, 20, numa, regular, 20, 20, 1600000, 46968782, 46749416, 93718198
2025-01-31, 22:27:40, bst, 128, 20, numa, regular, 20, 100, 1600000, 31404858, 31112025, 62516883
2025-01-31, 22:28:12, bst, 128, 20, regular, numa, 20, 0, 1600000, 38883636, 38977321, 77860957
2025-01-31, 22:28:44, bst, 128, 20, regular, numa, 20, 20, 1600000, 38565668, 38510628, 77076296
2025-01-31, 22:29:17, bst, 128, 20, regular, numa, 20, 100, 1600000, 38234778, 38265184, 76499962
2025-01-31, 22:29:49, bst, 128, 20, regular, regular, 20, 0, 1600000, 25611633, 27558362, 53169995
2025-01-31, 22:30:21, bst, 128, 20, regular, regular, 20, 20, 1600000, 34683967, 36490873, 71174840
2025-01-31, 22:30:53, bst, 128, 20, regular, regular, 20, 100, 1600000, 22302531, 24489291, 46791822
2025-01-31, 22:31:25, bst, 128, 20, split, numa, 20, 0, 1600000, 39056388, 38625154, 77681542
2025-01-31, 22:31:57, bst, 128, 20, split, numa, 20, 20, 1600000, 39485846, 38999219, 78485065
2025-01-31, 22:32:30, bst, 128, 20, split, numa, 20, 100, 1600000, 38427766, 37567849, 75995615
2025-01-31, 22:33:02, bst, 128, 20, split, regular, 20, 0, 1600000, 31216307, 32112299, 63328606
2025-01-31, 22:33:34, bst, 128, 20, split, regular, 20, 20, 1600000, 31661000, 31538756, 63199756
2025-01-31, 22:34:06, bst, 128, 20, split, regular, 20, 100, 1600000, 32130534, 32216121, 64346655
2025-01-31, 22:34:38, bst, 128, 40, numa, numa, 20, 0, 1600000, 40250862, 40425126, 80675988
2025-01-31, 22:35:11, bst, 128, 40, numa, numa, 20, 20, 1600000, 42031051, 42191617, 84222668
2025-01-31, 22:35:43, bst, 128, 40, numa, numa, 20, 100, 1600000, 36441062, 39051278, 75492340
2025-01-31, 22:36:16, bst, 128, 40, numa, regular, 20, 0, 1600000, 38190267, 38909904, 77100171
2025-01-31, 22:36:48, bst, 128, 40, numa, regular, 20, 20, 1600000, 39671203, 40417749, 80088952
2025-01-31, 22:37:20, bst, 128, 40, numa, regular, 20, 100, 1600000, 30865076, 32203979, 63069055
2025-01-31, 22:37:52, bst, 128, 40, regular, numa, 20, 0, 1600000, 37507045, 37999704, 75506749
2025-01-31, 22:38:24, bst, 128, 40, regular, numa, 20, 20, 1600000, 36762287, 37047645, 73809932
