Date, Time, DS_name, num_DS, num_threads, thread_config, DS_config, duration, keyspace, Op0, Op1, TotalOps
2025-03-13, 21:28:41, bst, 128, 20, numa, numa, 20, 1600000, 39982853, 36017569, 76000422
2025-03-13, 21:29:13, bst, 128, 20, numa, regular, 20, 1600000, 35849857, 33538128, 69387985
2025-03-13, 21:29:45, bst, 128, 20, regular, numa, 20, 1600000, 35899541, 34254992, 70154533
2025-03-13, 21:30:18, bst, 128, 20, regular, regular, 20, 1600000, 37851525, 35190892, 73042417
2025-03-13, 21:30:49, bst, 128, 20, split, numa, 20, 1600000, 31529506, 28104473, 59633979
2025-03-13, 21:31:22, bst, 128, 20, split, regular, 20, 1600000, 33342263, 28941081, 62283344
2025-03-13, 21:31:54, bst, 128, 40, numa, numa, 20, 1600000, 35529330, 29685287, 65214617
2025-03-13, 21:32:26, bst, 128, 40, numa, regular, 20, 1600000, 34405517, 27844971, 62250488
2025-03-13, 21:32:58, bst, 128, 40, regular, numa, 20, 1600000, 35290655, 31214166, 66504821
2025-03-13, 21:33:31, bst, 128, 40, regular, regular, 20, 1600000, 35500308, 30327927, 65828235
2025-03-13, 21:34:03, bst, 128, 40, split, numa, 20, 1600000, 31431136, 27856645, 59287781
2025-03-13, 21:34:35, bst, 128, 40, split, regular, 20, 1600000, 32895299, 28962872, 61858171
2025-03-13, 21:35:07, bst, 1024, 20, numa, numa, 20, 1600000, 43617787, 42416399, 86034186
2025-03-13, 21:37:05, bst, 1024, 20, numa, regular, 20, 1600000, 34996438, 33482150, 68478588
2025-03-13, 21:38:58, bst, 1024, 20, regular, numa, 20, 1600000, 40252777, 39715506, 79968283
2025-03-13, 21:40:56, bst, 1024, 20, regular, regular, 20, 1600000, 41732499, 41946413, 83678912
2025-03-13, 21:42:49, bst, 1024, 20, split, numa, 20, 1600000, 35701254, 34234193, 69935447
2025-03-13, 21:44:47, bst, 1024, 20, split, regular, 20, 1600000, 33399628, 31923867, 65323495
2025-03-13, 21:46:40, bst, 1024, 40, numa, numa, 20, 1600000, 43196986, 39399363, 82596349
2025-03-13, 21:48:38, bst, 1024, 40, numa, regular, 20, 1600000, 41185179, 36369458, 77554637
2025-03-13, 21:50:31, bst, 1024, 40, regular, numa, 20, 1600000, 42958439, 42802639, 85761078
2025-03-13, 21:52:29, bst, 1024, 40, regular, regular, 20, 1600000, 41379879, 41199168, 82579047
2025-03-13, 21:54:22, bst, 1024, 40, split, numa, 20, 1600000, 34862921, 35160103, 70023024
2025-03-13, 21:56:20, bst, 1024, 40, split, regular, 20, 1600000, 34889411, 35508226, 70397637
