BST Results
Date, Time, DS_name, num_DS, num_threads, thread_config, DS_config, duration, keyspace, Op0, Op1, TotalOps
2025-03-13, 22:11:48, bst, 128, 20, numa, numa, 20, 1600000, 39911874, 36756189, 76668063
2025-03-13, 22:12:20, bst, 128, 20, numa, regular, 20, 1600000, 39401180, 34201189, 73602369
2025-03-13, 22:12:52, bst, 128, 20, regular, numa, 20, 1600000, 36538895, 34297663, 70836558
2025-03-13, 22:13:24, bst, 128, 20, regular, regular, 20, 1600000, 37075437, 34355656, 71431093
2025-03-13, 22:13:56, bst, 128, 20, split, numa, 20, 1600000, 35595226, 34129763, 69724989
2025-03-13, 22:14:28, bst, 128, 20, split, regular, 20, 1600000, 37016845, 35245112, 72261957
2025-03-13, 22:15:00, bst, 128, 40, numa, numa, 20, 1600000, 37109214, 30193715, 67302929
2025-03-13, 22:15:32, bst, 128, 40, numa, regular, 20, 1600000, 35265668, 28421830, 63687498
2025-03-13, 22:16:04, bst, 128, 40, regular, numa, 20, 1600000, 34187850, 30366122, 64553972
2025-03-13, 22:16:37, bst, 128, 40, regular, regular, 20, 1600000, 32912538, 28309688, 61222226
2025-03-13, 22:17:09, bst, 128, 40, split, numa, 20, 1600000, 32989456, 29495032, 62484488
2025-03-13, 22:17:41, bst, 128, 40, split, regular, 20, 1600000, 35113269, 29921124, 65034393
2025-03-13, 22:18:13, bst, 1024, 20, numa, numa, 20, 1600000, 40792692, 40282375, 81075067
2025-03-13, 22:20:12, bst, 1024, 20, numa, regular, 20, 1600000, 36289039, 35210250, 71499289
2025-03-13, 22:22:04, bst, 1024, 20, regular, numa, 20, 1600000, 42006538, 42511401, 84517939
2025-03-13, 22:24:02, bst, 1024, 20, regular, regular, 20, 1600000, 43463622, 40891999, 84355621
2025-03-13, 22:25:55, bst, 1024, 20, split, numa, 20, 1600000, 41018983, 41018644, 82037627
2025-03-13, 22:27:53, bst, 1024, 20, split, regular, 20, 1600000, 37064407, 37064664, 74129071
2025-03-13, 22:29:45, bst, 1024, 40, numa, numa, 20, 1600000, 43853783, 40370234, 84224017
2025-03-13, 22:31:44, bst, 1024, 40, numa, regular, 20, 1600000, 42090080, 37268787, 79358867
2025-03-13, 22:33:37, bst, 1024, 40, regular, numa, 20, 1600000, 42545034, 44022613, 86567647
2025-03-13, 22:35:35, bst, 1024, 40, regular, regular, 20, 1600000, 38648579, 38646335, 77294914
2025-03-13, 22:37:27, bst, 1024, 40, split, numa, 20, 1600000, 43839312, 40078633, 83917945
2025-03-13, 22:39:25, bst, 1024, 40, split, regular, 20, 1600000, 42553206, 41612663, 84165869

