BST Results
Date, Time, DS_name, num_DS, num_threads, thread_config, DS_config, duration, crossover,keyspace, Op0, Op1, TotalOps
2025-03-03, 15:35:20, bst, 128, 20, numa, numa, 20, 0, 1600000, 39614014, 36728446, 76342460
2025-03-03, 15:35:53, bst, 128, 20, numa, numa, 20, 20, 1600000, 39351483, 35940294, 75291777
2025-03-03, 15:36:25, bst, 128, 20, numa, numa, 20, 100, 1600000, 39396892, 36036180, 75433072
2025-03-03, 15:36:58, bst, 128, 20, numa, regular, 20, 0, 1600000, 29218223, 27597089, 56815312
2025-03-03, 15:37:29, bst, 128, 20, numa, regular, 20, 20, 1600000, 29677273, 27072313, 56749586
2025-03-03, 15:38:01, bst, 128, 20, numa, regular, 20, 100, 1600000, 30138463, 29511585, 59650048
2025-03-03, 15:38:33, bst, 128, 20, regular, numa, 20, 0, 1600000, 35976639, 33070461, 69047100
2025-03-03, 15:39:06, bst, 128, 20, regular, numa, 20, 20, 1600000, 35384228, 34285544, 69669772
2025-03-03, 15:39:38, bst, 128, 20, regular, numa, 20, 100, 1600000, 36720445, 33830648, 70551093
2025-03-03, 15:40:11, bst, 128, 20, regular, regular, 20, 0, 1600000, 27882475, 27395831, 55278306
2025-03-03, 15:40:42, bst, 128, 20, regular, regular, 20, 20, 1600000, 24919443, 24229159, 49148602
2025-03-03, 15:41:14, bst, 128, 20, regular, regular, 20, 100, 1600000, 22502098, 21746780, 44248878
2025-03-03, 15:41:46, bst, 128, 20, split, numa, 20, 0, 1600000, 37543418, 33253048, 70796466
2025-03-03, 15:42:19, bst, 128, 20, split, numa, 20, 20, 1600000, 35600843, 33707762, 69308605
2025-03-03, 15:42:51, bst, 128, 20, split, numa, 20, 100, 1600000, 36243278, 33840650, 70083928
2025-03-03, 15:43:23, bst, 128, 20, split, regular, 20, 0, 1600000, 22104230, 19343578, 41447808
2025-03-03, 15:43:55, bst, 128, 20, split, regular, 20, 20, 1600000, 27504529, 26790122, 54294651
2025-03-03, 15:44:27, bst, 128, 20, split, regular, 20, 100, 1600000, 28494459, 26282509, 54776968
2025-03-03, 15:44:59, bst, 128, 40, numa, numa, 20, 0, 1600000, 38943033, 31814140, 70757173
2025-03-03, 15:45:32, bst, 128, 40, numa, numa, 20, 20, 1600000, 37661445, 30542511, 68203956
2025-03-03, 15:46:04, bst, 128, 40, numa, numa, 20, 100, 1600000, 37332237, 30176525, 67508762
2025-03-03, 15:46:37, bst, 128, 40, numa, regular, 20, 0, 1600000, 31893888, 26188824, 58082712
2025-03-03, 15:47:08, bst, 128, 40, numa, regular, 20, 20, 1600000, 32056360, 25563306, 57619666
2025-03-03, 15:47:40, bst, 128, 40, numa, regular, 20, 100, 1600000, 31371611, 25949195, 57320806
2025-03-03, 15:48:12, bst, 128, 40, regular, numa, 20, 0, 1600000, 36079711, 31491492, 67571203
2025-03-03, 15:48:45, bst, 128, 40, regular, numa, 20, 20, 1600000, 36538324, 31532447, 68070771
2025-03-03, 15:49:17, bst, 128, 40, regular, numa, 20, 100, 1600000, 35422233, 30696848, 66119081
2025-03-03, 15:49:50, bst, 128, 40, regular, regular, 20, 0, 1600000, 27391860, 25795786, 53187646
2025-03-03, 15:50:22, bst, 128, 40, regular, regular, 20, 20, 1600000, 26371193, 24688406, 51059599
2025-03-03, 15:50:54, bst, 128, 40, regular, regular, 20, 100, 1600000, 28392036, 25341825, 53733861
2025-03-03, 15:51:26, bst, 128, 40, split, numa, 20, 0, 1600000, 35062268, 30757569, 65819837
2025-03-03, 15:51:58, bst, 128, 40, split, numa, 20, 20, 1600000, 35802234, 30714711, 66516945
2025-03-03, 15:52:31, bst, 128, 40, split, numa, 20, 100, 1600000, 33471508, 28683716, 62155224
2025-03-03, 15:53:03, bst, 128, 40, split, regular, 20, 0, 1600000, 29667411, 25201775, 54869186
2025-03-03, 15:53:35, bst, 128, 40, split, regular, 20, 20, 1600000, 29251856, 24661942, 53913798
2025-03-03, 15:54:07, bst, 128, 40, split, regular, 20, 100, 1600000, 28853418, 24276155, 53129573
2025-03-03, 15:54:39, bst, 1024, 20, numa, numa, 20, 0, 1600000, 41166200, 43820714, 84986914
2025-03-03, 15:56:36, bst, 1024, 20, numa, numa, 20, 20, 1600000, 41002185, 43594863, 84597048
2025-03-03, 15:58:33, bst, 1024, 20, numa, numa, 20, 100, 1600000, 41384077, 43938638, 85322715
2025-03-03, 16:00:31, bst, 1024, 20, numa, regular, 20, 0, 1600000, 21804291, 21803633, 43607924
2025-03-03, 16:02:23, bst, 1024, 20, numa, regular, 20, 20, 1600000, 22036880, 22037382, 44074262
2025-03-03, 16:04:16, bst, 1024, 20, numa, regular, 20, 100, 1600000, 22163493, 22172909, 44336402
2025-03-03, 16:06:09, bst, 1024, 20, regular, numa, 20, 0, 1600000, 41013883, 39319193, 80333076
2025-03-03, 16:08:07, bst, 1024, 20, regular, numa, 20, 20, 1600000, 41650953, 39551029, 81201982
2025-03-03, 16:10:04, bst, 1024, 20, regular, numa, 20, 100, 1600000, 40383935, 39916267, 80300202
2025-03-03, 16:12:02, bst, 1024, 20, regular, regular, 20, 0, 1600000, 16885453, 18002931, 34888384
2025-03-03, 16:13:55, bst, 1024, 20, regular, regular, 20, 20, 1600000, 15387588, 16856894, 32244482
2025-03-03, 16:15:48, bst, 1024, 20, regular, regular, 20, 100, 1600000, 15790257, 16960864, 32751121
2025-03-03, 16:17:41, bst, 1024, 20, split, numa, 20, 0, 1600000, 40600812, 40682014, 81282826
2025-03-03, 16:19:39, bst, 1024, 20, split, numa, 20, 20, 1600000, 40456467, 40669052, 81125519
2025-03-03, 16:21:37, bst, 1024, 20, split, numa, 20, 100, 1600000, 40644507, 40643348, 81287855
2025-03-03, 16:23:34, bst, 1024, 20, split, regular, 20, 0, 1600000, 22538122, 22542201, 45080323
2025-03-03, 16:25:27, bst, 1024, 20, split, regular, 20, 20, 1600000, 20588384, 20588727, 41177111
2025-03-03, 16:27:20, bst, 1024, 20, split, regular, 20, 100, 1600000, 22209559, 22213862, 44423421
2025-03-03, 16:29:13, bst, 1024, 40, numa, numa, 20, 0, 1600000, 40542568, 39309521, 79852089
2025-03-03, 16:31:11, bst, 1024, 40, numa, numa, 20, 20, 1600000, 40528503, 39239836, 79768339
2025-03-03, 16:33:09, bst, 1024, 40, numa, numa, 20, 100, 1600000, 41487951, 40358282, 81846233
2025-03-03, 16:35:06, bst, 1024, 40, numa, regular, 20, 0, 1600000, 28266393, 27636663, 55903056
2025-03-03, 16:36:58, bst, 1024, 40, numa, regular, 20, 20, 1600000, 29503199, 28819764, 58322963
2025-03-03, 16:38:51, bst, 1024, 40, numa, regular, 20, 100, 1600000, 29197838, 28216693, 57414531
2025-03-03, 16:40:44, bst, 1024, 40, regular, numa, 20, 0, 1600000, 42572464, 42981345, 85553809
2025-03-03, 16:42:42, bst, 1024, 40, regular, numa, 20, 20, 1600000, 41468238, 46793143, 88261381
2025-03-03, 16:44:40, bst, 1024, 40, regular, numa, 20, 100, 1600000, 42783907, 43966470, 86750377
2025-03-03, 16:46:37, bst, 1024, 40, regular, regular, 20, 0, 1600000, 22929867, 22925633, 45855500
2025-03-03, 16:48:30, bst, 1024, 40, regular, regular, 20, 20, 1600000, 26672129, 26668893, 53341022
2025-03-03, 16:50:23, bst, 1024, 40, regular, regular, 20, 100, 1600000, 23811364, 23811042, 47622406
2025-03-03, 16:52:16, bst, 1024, 40, split, numa, 20, 0, 1600000, 42575073, 42601561, 85176634
2025-03-03, 16:54:15, bst, 1024, 40, split, numa, 20, 20, 1600000, 45539400, 42809950, 88349350
2025-03-03, 16:56:12, bst, 1024, 40, split, numa, 20, 100, 1600000, 45652712, 42017196, 87669908
2025-03-03, 16:58:10, bst, 1024, 40, split, regular, 20, 0, 1600000, 26825118, 24644956, 51470074
2025-03-03, 17:00:02, bst, 1024, 40, split, regular, 20, 20, 1600000, 25347289, 23985587, 49332876
2025-03-03, 17:01:56, bst, 1024, 40, split, regular, 20, 100, 1600000, 25250779, 23890140, 49140919

