BST Results
Date, Time, DS_name, num_DS, num_threads, thread_config, DS_config, duration, crossover,keyspace, Op0, Op1, TotalOps
2025-02-18, 19:46:34, bst, 128, 20, numa, numa, 20, 0, 1600000, 40276607, 34895299, 75171906
2025-02-18, 19:47:07, bst, 128, 20, numa, numa, 20, 20, 1600000, 39787709, 33529478, 73317187
2025-02-18, 19:47:39, bst, 128, 20, numa, numa, 20, 100, 1600000, 40188085, 33850572, 74038657
2025-02-18, 19:48:12, bst, 128, 20, numa, regular, 20, 0, 1600000, 29715313, 25777862, 55493175
2025-02-18, 19:48:43, bst, 128, 20, numa, regular, 20, 20, 1600000, 29919750, 25939378, 55859128
2025-02-18, 19:49:15, bst, 128, 20, numa, regular, 20, 100, 1600000, 27763251, 24314689, 52077940
2025-02-18, 19:49:46, bst, 128, 20, regular, numa, 20, 0, 1600000, 36398097, 32459323, 68857420
2025-02-18, 19:50:19, bst, 128, 20, regular, numa, 20, 20, 1600000, 36006462, 33050610, 69057072
2025-02-18, 19:50:51, bst, 128, 20, regular, numa, 20, 100, 1600000, 35886717, 33127645, 69014362
2025-02-18, 19:51:23, bst, 128, 20, regular, regular, 20, 0, 1600000, 23233870, 21634123, 44867993
2025-02-18, 19:51:55, bst, 128, 20, regular, regular, 20, 20, 1600000, 25906581, 24137750, 50044331
2025-02-18, 19:52:26, bst, 128, 20, regular, regular, 20, 100, 1600000, 21455054, 20004169, 41459223
2025-02-18, 19:52:58, bst, 128, 20, split, numa, 20, 0, 1600000, 38278851, 31830746, 70109597
2025-02-18, 19:53:30, bst, 128, 20, split, numa, 20, 20, 1600000, 37726068, 32091716, 69817784
2025-02-18, 19:54:02, bst, 128, 20, split, numa, 20, 100, 1600000, 36339685, 33486514, 69826199
2025-02-18, 19:54:35, bst, 128, 20, split, regular, 20, 0, 1600000, 28045087, 23861290, 51906377
2025-02-18, 19:55:06, bst, 128, 20, split, regular, 20, 20, 1600000, 30258157, 25523141, 55781298
2025-02-18, 19:55:38, bst, 128, 20, split, regular, 20, 100, 1600000, 27068930, 23492675, 50561605
2025-02-18, 19:56:09, bst, 128, 40, numa, numa, 20, 0, 1600000, 39379415, 31615574, 70994989
2025-02-18, 19:56:42, bst, 128, 40, numa, numa, 20, 20, 1600000, 39501699, 31815861, 71317560
2025-02-18, 19:57:14, bst, 128, 40, numa, numa, 20, 100, 1600000, 36995681, 30492772, 67488453
2025-02-18, 19:57:47, bst, 128, 40, numa, regular, 20, 0, 1600000, 29880671, 25627094, 55507765
2025-02-18, 19:58:18, bst, 128, 40, numa, regular, 20, 20, 1600000, 31982200, 27019183, 59001383
2025-02-18, 19:58:50, bst, 128, 40, numa, regular, 20, 100, 1600000, 29719679, 25435074, 55154753
2025-02-18, 19:59:22, bst, 128, 40, regular, numa, 20, 0, 1600000, 35215222, 30282148, 65497370
2025-02-18, 19:59:54, bst, 128, 40, regular, numa, 20, 20, 1600000, 37046131, 30934625, 67980756
2025-02-18, 20:00:27, bst, 128, 40, regular, numa, 20, 100, 1600000, 35646534, 30190418, 65836952
2025-02-18, 20:00:59, bst, 128, 40, regular, regular, 20, 0, 1600000, 27092028, 24114750, 51206778
2025-02-18, 20:01:31, bst, 128, 40, regular, regular, 20, 20, 1600000, 27698942, 24970508, 52669450
2025-02-18, 20:02:02, bst, 128, 40, regular, regular, 20, 100, 1600000, 27332718, 24622787, 51955505
2025-02-18, 20:02:34, bst, 128, 40, split, numa, 20, 0, 1600000, 35365524, 30478979, 65844503
2025-02-18, 20:03:06, bst, 128, 40, split, numa, 20, 20, 1600000, 36311699, 30480412, 66792111
2025-02-18, 20:03:39, bst, 128, 40, split, numa, 20, 100, 1600000, 37135606, 30484424, 67620030
2025-02-18, 20:04:11, bst, 128, 40, split, regular, 20, 0, 1600000, 27338651, 24489973, 51828624
2025-02-18, 20:04:42, bst, 128, 40, split, regular, 20, 20, 1600000, 28522948, 24720668, 53243616
2025-02-18, 20:05:14, bst, 128, 40, split, regular, 20, 100, 1600000, 28394597, 24598823, 52993420
2025-02-18, 20:05:45, bst, 1024, 20, numa, numa, 20, 0, 1600000, 39641577, 38508842, 78150419
2025-02-18, 20:07:41, bst, 1024, 20, numa, numa, 20, 20, 1600000, 40065722, 39005930, 79071652
2025-02-18, 20:09:40, bst, 1024, 20, numa, numa, 20, 100, 1600000, 40419830, 39106643, 79526473
2025-02-18, 20:11:37, bst, 1024, 20, numa, regular, 20, 0, 1600000, 21054983, 21050369, 42105352
2025-02-18, 20:13:26, bst, 1024, 20, numa, regular, 20, 20, 1600000, 21671096, 21661374, 43332470
2025-02-18, 20:15:15, bst, 1024, 20, numa, regular, 20, 100, 1600000, 21731141, 21708646, 43439787
2025-02-18, 20:17:04, bst, 1024, 20, regular, numa, 20, 0, 1600000, 40220351, 39440065, 79660416
2025-02-18, 20:19:02, bst, 1024, 20, regular, numa, 20, 20, 1600000, 41689088, 40185539, 81874627
2025-02-18, 20:21:00, bst, 1024, 20, regular, numa, 20, 100, 1600000, 39281804, 40233307, 79515111
2025-02-18, 20:22:58, bst, 1024, 20, regular, regular, 20, 0, 1600000, 15410335, 15699602, 31109937
2025-02-18, 20:24:47, bst, 1024, 20, regular, regular, 20, 20, 1600000, 15063058, 15223665, 30286723
2025-02-18, 20:26:37, bst, 1024, 20, regular, regular, 20, 100, 1600000, 18464065, 18463220, 36927285
2025-02-18, 20:28:26, bst, 1024, 20, split, numa, 20, 0, 1600000, 40305562, 39605781, 79911343
2025-02-18, 20:30:24, bst, 1024, 20, split, numa, 20, 20, 1600000, 40118892, 39170167, 79289059
2025-02-18, 20:32:23, bst, 1024, 20, split, numa, 20, 100, 1600000, 40978482, 38521183, 79499665
2025-02-18, 20:34:20, bst, 1024, 20, split, regular, 20, 0, 1600000, 17975380, 17974251, 35949631
2025-02-18, 20:36:09, bst, 1024, 20, split, regular, 20, 20, 1600000, 20491212, 20487985, 40979197
